id,scale,segment,start,end,n,oracle_profitable,oracle_cash,detected,first_trade,days_missed,traded_days,cash_before_first,all_remaining_cash,actual_mask_cash,actual_mask_mean
DD2,0.12,21,2023-08-07,2023-10-25,51,True,3990.4253333501124,True,2023-08-10,2,37,1354.0156573500064,2636.409676000106,164.56922610008365,-0.03247280560932463
DD2,0.12,23,2023-11-15,2024-01-17,44,True,1765.3648109000649,True,2023-11-28,8,29,857.4464756500059,907.9183352500589,-990.9954528999518,-0.23690844127990382
DD2,0.12,25,2024-03-11,2024-04-23,29,False,-1322.0269225999368,True,2024-04-08,17,11,444.01913865003485,-1766.0460612499714,-2082.1720655499685,-0.8775290602225385
DD2,0.12,27,2024-05-20,2024-05-31,9,True,3110.6215427000366,True,2024-05-31,8,1,2396.20642140003,714.4151213000064,714.4151213000064,3.0182303392480203
DD2,0.12,29,2024-07-09,2024-09-06,43,True,1241.6788731501324,True,2024-07-18,6,33,1616.775727150018,-375.09685399988535,-1228.110034099897,-0.21997239800839438
DD2,0.12,31,2024-10-08,2024-10-16,6,True,2989.211856400008,True,2024-10-14,3,2,3080.64482115001,-91.43296475000233,-633.4513652000019,-1.2879091673643883
DD2,0.12,33,2024-11-11,2025-01-13,44,True,3943.7350594001255,True,2024-11-18,4,30,2683.6275794000094,1260.1074800001163,-138.88717919992177,-0.043661369425972006
DD2,0.12,37,2025-02-19,2025-04-08,33,True,1552.8668146500636,True,2025-03-03,7,24,748.7635778000167,804.1032368500469,569.1069152500409,0.15623878819906079
DD2,0.12,41,2025-09-23,2025-10-14,9,True,3613.543202736054,False,,9,0,3613.543202736054,0.0,0.0,
DD2,0.12,43,2025-10-29,2025-11-24,18,True,8776.806305427173,True,2025-11-12,9,9,3469.2482177820784,5307.558087645094,5307.558087645094,0.962162413445678
DD2,0.12,45,2025-12-09,2025-12-18,7,True,1063.1068870410813,True,2025-12-16,4,3,2501.849401965058,-1438.7425149239766,-1438.7425149239766,-0.8167397940624342
DD2,0.12,47,2025-12-25,2026-03-23,54,True,2799.5816295453387,True,2026-01-09,8,43,3486.15010188007,-686.5684723347315,-2313.221054372735,-0.09797162220978549
DD2,0.12,49,2026-06-03,2026-06-11,6,True,2930.6199484440617,True,2026-06-09,3,3,3995.5078603800357,-1064.887911935974,-1064.887911935974,-0.5000337650253316
DD2,0.12,51,2026-06-22,2026-07-30,28,True,14363.222838201198,True,2026-06-29,4,24,5838.949357326045,8524.273480875156,8524.273480875156,0.5158114614537666
DD2,0.2,1,2018-06-13,2018-10-18,84,True,2419.301214850151,True,2018-10-09,76,8,1110.2989419001435,1309.002272950007,1309.002272950007,1.3164301874416184
DD2,0.2,3,2019-04-18,2019-06-18,39,True,2165.3739932500616,True,2019-04-23,2,32,1187.445931400003,977.928061850059,830.8968201500472,0.09090553565510956
DD2,0.2,5,2020-01-22,2020-03-23,37,True,464.3133507000489,True,2020-02-04,2,27,402.5042525000037,61.80909820004524,-1012.3350190999619,-0.09917482051932312
DD2,0.2,11,2023-04-18,2023-05-12,15,True,3471.6085356000262,True,2023-04-28,7,8,2464.0780289500176,1007.5305066500084,1007.5305066500084,0.8018153956365921
DD2,0.2,13,2023-07-14,2023-10-25,67,True,2588.909810950145,True,2023-07-21,4,49,3562.3392140500086,-973.429403099864,-4799.285510349892,-0.47468335133948475
