id,direction,window,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,episodes,delete5_pct,delete5_cash,double_slip_pct,double_slip_cash,matched_n,excluded_n,matched_open_pct,matched_open_cash,delayed_pct,delayed_cash,month_ci_low,month_ci_high
D_I10,rt,full_2020,335,-0.3247940839895256,-0.2852833333333333,43.28358208955223,-13942.983484101213,0.6582451093413215,0.773272857372041,-12.229427049039757,-20089.860650455328,30,57,-0.4229112160731391,-26976.411661171252,-0.424793043675314,-20407.719648203267,334,1,-0.3227694314119253,-13801.438118551214,-0.2713144035309907,-9366.332070906254,-0.5283188529008358,-0.13434226923430886
D_I10,rt,primary,111,-0.31048868625365755,0.0439403218306469,50.45045045045045,-4958.732414601556,0.710415553831504,0.8611557677382583,-12.229427049039757,-10464.906717305688,13,19,-0.5614319757865446,-17916.34651041661,-0.41052087977262747,-8600.771109203577,111,0,-0.31048868625365755,-4958.732414601556,-0.14448843263897182,65.80287099343485,-0.5933031972834137,-0.004396162136294508
D_I10,rt,2020,49,-0.21863175968238718,-0.1239889400311379,48.97959183673469,-1281.559122149917,0.777954241410513,0.806376495887242,-5.07696051874063,-3172.958694699942,4,9,-0.7408428490298452,-4459.449048999925,-0.31855367061297024,-1955.286944299923,49,0,-0.21863175968238718,-1281.559122149917,-0.18655717627334983,-1031.936495899928,-1.369680777737534,0.4396192195216935
D_I10,rt,2021,57,-0.4404125231377836,-0.5614765062892958,31.57894736842105,-2956.8967549999093,0.4413829491201421,0.448419491607565,-5.552225427361832,-2956.8967549999093,6,9,-0.7145483224328163,-4435.195003249915,-0.5404400472430342,-3643.55350999992,57,0,-0.4404125231377836,-2956.8967549999093,-0.4084251324296159,-2697.2892236999082,-1.018095441184902,-0.12184044366352946
D_I10,rt,2022,75,-0.17988357324810175,-0.3800898045413797,36.0,-1180.7243098499157,0.735581966899601,0.7510258024545883,-4.524291825285871,-1639.9652529999664,5,12,-0.46257587715708864,-2937.8067643499207,-0.27977021921201367,-1903.4175196999213,75,0,-0.17988357324810175,-1180.7243098499157,-0.21931428688019708,-1540.1808916499285,-0.5068782247093616,0.10107316004624829
D_I10,rt,2023,43,-0.5821868819869027,-0.2207035223367772,46.51162790697674,-3565.0708824999124,0.5461055953466929,0.6065239110094671,-9.975888697771572,-4542.4409479999495,3,8,-1.0285506528603514,-6326.581172299926,-0.6823458833181167,-4304.690564999921,42,1,-0.5722144733459235,-3423.5255169499164,-0.6121592632030476,-4162.728330649925,-1.0518419173481277,-0.2812683291823712
D_I10,rt,2024,42,-0.5420694276068904,0.2904762651835354,54.761904761904766,-4004.9876819999004,0.547718542067501,0.5607480768979823,-9.098307319576708,-5391.992149299935,4,8,-0.9695906087524304,-6693.605141449922,-0.6422112249579972,-4784.912963999897,42,0,-0.5420694276068904,-4004.9876819999004,-0.34312771973725326,-2466.5426892999253,-1.346273395333442,-0.2870030928274378
D_I10,rt,2025,29,-0.3570608595355765,-0.2102840379008831,48.275862068965516,-1384.270262754916,0.6541088586202864,0.7565445467846758,-12.229427049039757,-2953.616770703984,5,6,-1.0170098669371763,-4538.2217747539335,-0.45711349250223077,-2036.2322195099255,29,0,-0.3570608595355765,-1384.270262754916,-0.11158598682115076,493.66360459312125,-0.8049798927205232,0.21438479970808294
D_I10,rt,2026,40,-0.03356408220337177,-0.0687182251981342,47.5,430.52553015325975,0.9653427744167188,1.0205887850215811,-6.235135426079971,-6269.700601106899,4,5,-0.6846721721982916,-12527.088565661796,-0.13346637309902656,-1779.6259256937556,40,0,-0.03356408220337177,430.52553015325975,0.04022854559630351,2038.6819557002386,-0.49253964709942755,0.4954505924865124
DD2_I10,rt,full_available,605,-0.500041379127077,-0.3800898045413797,41.15702479338843,-65768.9832118656,0.5512750076915727,0.5818087072397561,-12.229427049039757,-73781.00079638275,66,120,-0.5679990610022287,-85026.87212632563,-0.6001266412724123,-78283.7612777326,533,72,-0.5106721266968721,-61890.759080465694,-0.46895162813530666,-62640.127196971705,-0.6807175513334404,-0.33620166043582017
