id,window,losing,n,losing_mean_pct,losing_cash,opposite,opposite_mean_pct,opposite_cash,large
BR10_I10,2025,rt,47,-0.6800171343632752,-12038.160747668824,pt,0.28733768078835586,6397.232728669182,True
BR10_I10,2026,rt,54,-0.541604381673544,-17860.957976393645,pt,0.18284563762478429,6572.936855394361,True
BR20_I10,full_available,rt,391,-0.41671695555062305,-27551.64473371617,pt,-0.08784795952253203,-6356.866986782132,False
BR20_I10,full_available,pt,391,-0.08784795952253203,-6356.866986782132,rt,-0.41671695555062305,-27551.64473371617,False
BR20_I10,full_2020,rt,344,-0.41830022445841886,-25375.97895126622,pt,-0.078489955296044,-5160.7114542322,False
BR20_I10,full_2020,pt,344,-0.078489955296044,-5160.7114542322,rt,-0.41830022445841886,-25375.97895126622,False
BR20_I10,primary,rt,122,-0.539041889238323,-15433.422417616535,pt,0.14919597133150608,322.6396596174894,True
BR20_I10,2020,rt,60,-0.14357557447720043,-825.7630825999065,pt,-0.40296824880608023,-3784.2838373998916,False
BR20_I10,2020,pt,60,-0.40296824880608023,-3784.2838373998916,rt,-0.14357557447720043,-825.7630825999065,False
BR20_I10,2021,rt,63,-0.4204014930818951,-3062.919234399916,pt,-0.1484669207429777,-1303.7987855999258,False
BR20_I10,2021,pt,63,-0.1484669207429777,-1303.7987855999258,rt,-0.4204014930818951,-3062.919234399916,False
BR20_I10,2022,rt,57,-0.0681382870614557,-273.9353428999358,pt,-0.5423620327126417,-3112.516067099948,False
BR20_I10,2022,pt,57,-0.5423620327126417,-3112.516067099948,rt,-0.0681382870614557,-273.9353428999358,True
BR20_I10,2023,rt,42,-0.9321060912220538,-5779.938873749929,pt,0.45818318275024067,2717.2475762500812,True
BR20_I10,2024,rt,53,-0.8753230526410324,-9482.32258654988,pt,0.4674304642146715,5134.024314050107,True
BR20_I10,2025,rt,31,-0.33494762629521696,-1470.8783183578935,pt,-0.06282036125942786,-1670.82840664189,False
BR20_I10,2025,pt,31,-0.06282036125942786,-1670.82840664189,rt,-0.33494762629521696,-1470.8783183578935,False
BR20_I10,2026,rt,38,-0.2365161126828673,-4480.221512708762,pt,-0.12169670794451504,-3140.556247790733,False
BR20_I10,2026,pt,38,-0.12169670794451504,-3140.556247790733,rt,-0.2365161126828673,-4480.221512708762,False
PT_frozen,full_available,rt,178,-1.2619876330324862,-65868.7230139035,pt,0.776179106334382,47900.347974904435,True
PT_frozen,full_2020,rt,148,-1.40106405814098,-64021.14288515354,pt,0.9299842981556765,48248.677721154396,True
PT_frozen,primary,rt,72,-2.0016373978139126,-55566.092251953625,pt,1.6156810165899478,45428.670825454275,True
PT_frozen,2020,rt,22,-0.3815285612018599,-1251.0468369499774,pt,-0.16196899861167616,-471.43663804996334,False
PT_frozen,2020,pt,22,-0.16196899861167616,-471.43663804996334,rt,-0.3815285612018599,-1251.0468369499774,False
PT_frozen,2021,rt,17,-1.0141889899661645,-2108.027147499984,pt,0.45068891459025945,890.4736175000214,True
PT_frozen,2022,rt,17,-0.9527462408545685,-1411.0648295999792,pt,0.33210023281841705,428.0156396000153,True
PT_frozen,2023,rt,20,-1.0704030345934987,-3684.9118191499697,pt,0.5782272698036625,1972.9542766500442,True
PT_frozen,2024,rt,27,-1.936218050333109,-11196.463922649904,pt,1.5340291508727124,8858.523685150061,True
PT_frozen,2025,rt,30,-2.2005245816955017,-28106.984173337823,pt,1.8166344033984207,23680.07553133808,True
PT_frozen,2026,rt,15,-1.7216178555161799,-16262.644155965894,pt,1.3607476012640263,12890.071608966135,True
RT_UR_volume,full_available,rt,110,-0.5703229096239982,-3344.254428079782,pt,0.05576752946833184,-6587.593667919781,True
RT_UR_volume,full_2020,rt,82,-0.4403370401397671,752.2857615701689,pt,-0.06741933283536669,-8348.124972569827,False
RT_UR_volume,full_2020,pt,82,-0.06741933283536669,-8348.124972569827,rt,-0.4403370401397671,752.2857615701689,False
RT_UR_volume,primary,pt,23,-1.1881568021468605,-11888.649873819913,rt,0.8112552102329732,8706.203697820081,True
RT_UR_volume,2020,rt,18,-0.7824041610150331,-2254.144492399967,pt,0.2530344295612366,704.3762624000384,True
RT_UR_volume,2021,pt,7,-1.1082991173182204,-1167.6515595499934,rt,0.5535570524721835,651.438904550005,True
RT_UR_volume,2022,pt,8,-0.7052038771382811,-582.9652966999915,rt,0.10300416801863405,96.69487670001021,True
RT_UR_volume,2023,rt,26,-1.74546788230781,-6447.90722509996,pt,1.1786279331965097,4586.765495100033,True
RT_UR_volume,2024,pt,9,-1.059172792363834,-2196.519391449988,rt,0.6690442509096531,1382.586073950027,True
RT_UR_volume,2025,pt,9,-0.7770439848065053,-1964.3825096999594,rt,0.40095643536521686,854.9127892000408,True
RT_UR_volume,2026,pt,5,-2.160331090968947,-7727.747972669965,rt,1.8057727317769117,6468.704834670013,True
