scale,segment,label,start,end,start_confirm,end_confirm,start_i,end_i,efficiency,n,overnight_log_pct,intraday_log_pct,total_log_pct,linked_overnight_pct,linked_intraday_pct,linked_total_pct,raw_overnight_log_pct,action_adjustment_log_pct,gross_rt_cash,rt_cash,rt_mean_pct,pt_cash,pt_mean_pct,cost_cash
0.12,6,R,2019-06-18,2020-01-22,2019-07-01,2020-02-03,248,397,0.214745127000236,149,-14.920147664370253,74.22896967230366,59.30882200793346,-13.860445366903592,110.07400695615203,80.95681399192944,-16.024192848993607,-1.1040451846233523,-11920.000000000005,-17997.537154599755,-0.795260838471671,5830.548924600238,0.25658254003819453,6077.53715459975
0.12,7,D,2020-01-22,2020-03-23,2020-02-03,2020-04-07,397,434,0.4588481229939732,37,-34.5873359551417,-16.415322302144148,-51.0026582572858,-29.23979075210405,-15.138801497423582,-39.95203836930456,-34.5873359551417,0.0,2139.9999999999864,464.3133507000489,0.13605700932932085,-3813.5477406999307,-0.6550498113498575,1675.6866492999372
0.12,8,R,2020-03-23,2020-07-09,2020-04-07,2020-07-24,434,506,0.24701345938984234,72,8.666132396381315,21.58446241183405,30.250594808215386,9.05272817115586,24.090955660466758,35.32457256139839,7.343361786626196,-1.3227706097551202,-3209.9999999999936,-5987.306361049856,-0.5929917681190493,429.4852760501319,0.04657697952666828,2777.306361049862
0.12,9,R,2020-07-09,2020-11-02,2020-07-24,2020-11-10,506,582,0.2128240467209079,76,1.397991936992888,-25.340360112931226,-23.942368175938363,1.4078095406939666,-22.38454382578184,-21.29186602870807,1.397991936992888,0.0,3820.0000000000073,852.9787291001329,0.04339302802214221,-6783.203219099894,-0.586033887676522,2967.021270899874
0.12,10,U,2020-11-02,2021-01-18,2020-11-10,2021-02-01,582,636,0.2504680683768708,54,-3.182716000607148,21.97056899278899,18.787852992181854,-3.132600678178276,24.57100516162509,20.66869300911854,-3.182716000607148,0.0,-3200.000000000004,-5264.254235999927,-0.6955780349175461,1132.547396000079,0.14740550609237527,2064.2542359999225
0.12,11,R,2021-01-18,2022-05-24,2021-02-01,2022-08-09,636,959,0.1480334796427629,323,-9.490197627716022,-44.013462235770405,-53.503659863486384,-9.053792104221627,-35.60502747825803,-41.435214415947165,-11.665141993848065,-2.1749443661320447,5320.0000000000055,-5759.728818399554,-0.16057530635751735,-16394.411531599602,-0.4114695925329139,11079.728818399559
0.12,12,R,2022-05-24,2022-08-11,2022-08-09,2022-09-26,959,1015,0.22874354926697452,56,-3.607699175887634,16.308370422779248,12.700671246891657,-3.543397301076454,17.713521675916947,13.542463925850507,-8.795584417332561,-5.187885241444926,-1550.0000000000061,-3200.0886127499357,-0.6055246675629882,-101.63782224992087,-0.00676664964629446,1650.0886127499296
0.12,13,D,2022-08-11,2022-10-10,2022-09-26,2022-11-30,1015,1051,0.4856245059755479,36,-4.031788297926626,-14.384022162198926,-18.4158104601256,-3.951593091849668,-13.397389074760154,-16.819571865443418,-4.031788297926626,0.0,1259.9999999999961,232.14771630002963,0.07863934656086509,-2286.5929262999593,-0.6996222041582448,1027.8522836999664
0.12,14,U,2022-10-10,2023-04-18,2022-11-30,2023-04-26,1051,1180,0.3604105627586641,129,9.731406136917144,75.78310796744215,85.51451410435921,10.220647974502253,113.36434955622296,135.1715686274508,9.731406136917144,0.0,-10149.999999999993,-14211.245310749846,-0.9192431182616709,6078.609865750167,0.3149744067626095,4061.245310749855
0.12,15,D,2023-04-18,2023-05-12,2023-04-26,2023-05-18,1180,1195,0.5746582493619192,15,-5.037073847408468,-23.957200792544548,-28.994274639953037,-4.912316748088466,-21.303539638685606,-25.169359041167272,-5.037073847408468,0.0,4119.999999999999,3471.6085356000262,1.2057503122518416,-4764.273565599974,-1.729176278556123,648.3914643999736
