scale,window,label,n,overnight_log_pct,intraday_log_pct,total_log_pct,linked_overnight_pct,linked_intraday_pct,linked_total_pct,raw_overnight_log_pct,action_adjustment_log_pct,gross_rt_cash,rt_cash,rt_mean_pct,pt_cash,pt_mean_pct,cost_cash
0.08,2022,U,59,-0.22681271625882232,12.005116281897122,11.778303565638323,-0.22655569057657268,12.755453897239589,12.499999999999975,-0.22681271625882232,0.0,-999.9999999999941,-2649.939704999943,-0.525839571039731,-650.9391949999441,-0.10393482850755109,1649.9397049999495
0.08,2022,D,127,-7.38967319658564,-38.02046207497982,-45.41013527156548,-7.123239910654389,-31.62785087064123,-36.49816308519587,-7.38967319658564,0.0,3740.000000000002,-136.27683129985377,-0.010942703076286094,-7612.538738699878,-0.5908388242586439,3876.276831299856
0.08,2022,R,56,-3.607699175887634,16.308370422779248,12.700671246891657,-3.543397301076454,17.713521675916947,13.542463925850507,-8.795584417332561,-5.187885241444926,-1550.0000000000061,-3200.0886127499357,-0.6055246675629882,-101.63782224992087,-0.00676664964629446,1650.0886127499296
0.08,2022,EDGE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
0.08,2023,U,109,25.706652118427137,164.8105465897521,190.5171987081791,29.313114451347168,419.7124365028725,572.0563378328436,23.251719638767835,-2.454932479659304,-29250.000000000004,-33341.748488749836,-1.8368311462537803,25130.9004862502,1.2942008141624344,4091.7484887498304
0.08,2023,D,105,-58.01366896751491,-123.08797068386876,-181.10163965138364,-44.01781605300892,-70.79644410314894,-83.65121161876247,-58.01366896751491,0.0,24269.999999999985,19674.228736350207,0.9075787428876825,-28845.85147134974,-1.3626297174937703,4595.771263649777
0.08,2023,R,28,8.330114637204538,34.60837539755799,42.938490034762616,8.686906594567375,41.35209988633031,53.63122477291552,8.330114637204538,0.0,-7600.000000000005,-8825.715887999953,-1.5963639660860214,6367.87239550005,1.0931484556267215,1225.7158879999488
0.08,2023,EDGE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
0.08,2024,U,105,34.19125715051689,169.89276667709083,204.0840238276077,40.76372245303292,446.80806421621844,669.7073858641194,34.19125715051689,0.0,-35990.0,-40582.21460244972,-1.8820035463007447,31379.799754950236,1.4811947818988402,4592.214602449729
0.08,2024,D,120,-53.485359509104235,-99.29558530904932,-152.78094481815353,-41.42449587190628,-62.952001344133,-78.29894801795652,-56.23565139806692,-2.750291888962674,22770.000000000015,17521.82865135033,0.6005296214383383,-28006.79226884972,-0.9964540786373247,5248.171348649682
0.08,2024,R,17,-16.24218920841217,2.892858526143916,-13.349330682268326,-14.991751419635499,2.93510810118519,-12.496667428877636,-16.24218920841217,0.0,-1440.00000000001,-2164.987232199965,-0.4346782851275095,714.2931422000431,0.031842845668311866,724.9872321999558
0.08,2024,EDGE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
0.08,2025,U,160,48.736312182796844,214.24696284634283,262.98327502913975,62.80176708110267,752.0454022637962,1287.144971218751,46.79450359708669,-1.9418085857101512,-92979.99999999993,-103325.66829381428,-1.595539704985649,82587.88063281556,1.2096365480611915,10345.668293814364
0.08,2025,D,79,-72.99520125504093,-53.09243793114498,-126.08763918618584,-51.80678837715506,-41.193887318096294,-71.65944566804147,-72.99520125504093,0.0,24680.0,18445.456525188423,0.4423326418914447,-30902.212659187626,-0.8212605157298241,6234.5434748115795
0.08,2025,R,4,-11.186429442687524,-17.778640162856323,-28.96506960554386,-10.583440747854668,-16.28787878787878,-25.147501535135913,-11.186429442687524,0.0,6870.000000000002,6599.969128567028,4.149200733872778,-7136.598363066978,-4.519474602108398,270.0308714329726
0.08,2025,EDGE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
0.08,2026,U,71,26.57029898788813,73.73946993935763,100.30976892724574,30.43475967120318,109.04820794309069,172.67152762752738,25.417292866334375,-1.1530061215537553,-45690.000000000065,-53629.24627266265,-1.2813232160933001,37727.92679316342,0.9212408228649748,7939.246272662583
0.08,2026,D,79,-44.73495925523712,-76.61633911253244,-121.35129836776957,-36.06796324360859,-53.520711960354916,-70.28484448638505,-45.27929049616904,-0.544331240931915,48359.99999999997,39609.98184427257,0.7481579295303427,-57085.8572772714,-1.104608779355491,8750.018155727408
0.08,2026,R,6,4.79009130338679,14.83886857662981,19.628959880016577,4.906670133760723,15.99636701206259,21.687926108490913,4.79009130338679,0.0,-9360.000000000007,-10036.656315971988,-2.7036625049657084,8678.667384972036,2.3410349849335588,676.6563159719784
0.08,2026,EDGE,13,-0.35908485681710767,6.672564179841345,6.313479323024204,-0.3584409181378113,6.9002148430794055,6.517040731504544,-0.35908485681710767,0.0,-4219.9999999999845,-5700.393187793901,-0.7088452159252139,2737.498480794048,0.3497872119647827,1480.3931877939165
0.12,full_available,U,668,143.59758713497013,655.3535037959695,798.9510909309396,320.37453223948,70072.04027163183,294885.38605477207,138.0478399480469,-5.549747186923211,-202829.99999999994,-236980.63608897122,-1.267276016844409,168560.0559429747,0.7898104145188509,34150.63608897127
0.12,full_available,D,629,-347.0773318224894,-349.20171057621155,-696.2790423987011,-96.89070234039318,-96.95605893057999,-99.90535481156871,-350.371954952384,-3.294623129894589,99159.99999999994,64337.9177685959,0.2920161022710374,-133919.06114659208,-0.7427346481541832,34822.08223140404
0.12,full_available,R,685,-2.126792101078878,43.040345385345425,40.913553284266655,-2.104335362346457,53.78778611502919,50.55157534884106,-11.916437503034325,-9.789645401955443,-5189.99999999999,-30304.41959173192,-0.36047766233928263,-19933.040932766013,-0.19990777530604673,25114.41959173193
0.12,full_available,EDGE,25,15.371250981069382,13.42555521223548,28.796806193304832,16.615558029354744,14.36850534452859,33.37147071735438,-2.8366945541574626,0.0,39.99999999999568,-2756.1092250048277,-0.8135090955735805,-2837.743861494845,0.44741187609082333,2796.1092250048237
0.12,full_2020,U,559,124.80061925572812,600.9049591831117,725.7055784388398,248.3390818611755,40609.622877422866,141707.52656036188,119.25087206880491,-5.549747186923211,-194569.99999999997,-224768.30587767137,-1.3566571942314276,164260.64194167452,0.8954815180179252,30198.305877671417
0.12,full_2020,D,493,-267.16028064873694,-276.6769773220934,-543.8372579708304,-93.08586837000611,-93.71352555006908,-99.56534488164584,-270.45490377863155,-3.294623129894589,87319.99999999997,58066.535419395674,0.3079769605923377,-116522.27745739235,-0.7352411494177644,29253.464580604297
0.12,full_2020,R,548,-11.329593801428825,-19.863612820519897,-31.193206621948693,-10.711361800989879,-18.015184131457467,-26.796874381012405,-20.015194018760912,-8.685600217332091,4800.000000000013,-14772.14697678214,-0.26192699976884004,-24370.78341271622,-0.3034923974191026,19572.146976782155
0.12,full_2020,EDGE,24,-2.836694554157462,-4.836862231651787,-7.673556785809275,-2.7968381317061133,-4.721749455793637,-7.386527898236511,-2.836694554157462,0.0,3349.9999999999936,598.9410315451714,-0.0011961027463902318,-6099.385293044845,-0.35659563743313677,2751.058968454823
0.12,primary,U,328,104.9207682371456,424.02528477324546,528.9460530103911,185.53878474391013,6842.540367558473,19723.645395881864,101.82595352988169,-3.0948147072639065,-165090.0,-187071.22692527168,-1.5506521497962917,143026.2913067742,1.164614866537539,21981.226925271723
0.12,primary,D,298,-175.61290814301103,-165.90929414891414,-341.52220229192517,-82.72878738929282,-80.96884744757655,-96.71308918040292,-178.90753127290563,-3.294623129894589,67870.0,46610.38700964535,0.3290528662017544,-89095.70203014274,-0.7098770953692936,21259.612990354646
0.12,primary,R,4,-11.186429442687524,-17.778640162856323,-28.96506960554386,-10.583440747854668,-16.28787878787878,-25.147501535135913,-11.186429442687524,0.0,6870.000000000002,6599.969128567028,4.149200733872778,-7136.598363066978,-4.519474602108398,270.0308714329726
