date,grid_ok,ohlc_ok,high_1m,high_daily,high_5m,low_1m,low_daily,low_5m,close_1m,close_daily
2026-07-28,True,True,60.790000915527344,60.79,60.76,57.79999923706055,57.8,57.86,58.08000183105469,58.08
2026-07-29,True,True,58.900001525878906,58.9,58.89,55.70000076293945,55.7,55.74,57.75,57.75
2026-07-30,True,True,57.380001068115234,57.38,57.27,53.220001220703125,53.22,53.22,53.79999923706055,53.8
2026-07-31,True,True,57.56999969482422,57.57,57.44,56.29999923706055,56.3,56.3,56.70000076293945,56.7
2026-08-03,True,True,56.79999923706055,56.8,56.79,54.63999938964844,54.64,54.66,55.900001525878906,55.9
2026-08-04,True,True,60.0,60.0,60.0,56.810001373291016,56.81,56.81,59.93000030517578,59.93
2026-08-05,True,True,65.91999816894531,65.92,65.92,58.900001525878906,58.9,59.0,65.91999816894531,65.92
2026-08-06,True,True,69.80000305175781,69.8,69.8,64.87000274658203,64.87,64.92,68.2699966430664,68.27
2026-08-07,True,True,69.6500015258789,69.65,69.55,67.4800033569336,67.48,67.48,68.18000030517578,68.18
2026-08-10,True,True,70.97000122070312,70.97,70.92,67.6500015258789,67.65,67.66,69.18000030517578,69.18
2026-08-11,True,True,68.19000244140625,68.19,68.11,65.5199966430664,65.52,65.56,66.01000213623047,66.01
2026-08-12,True,True,66.7699966430664,66.77,66.72,64.51000213623047,64.51,64.56,65.5999984741211,65.6
2026-08-13,True,True,68.08000183105469,68.08,68.0,65.19999694824219,65.2,65.22,65.2300033569336,65.23
2026-08-14,True,True,66.4800033569336,66.48,66.47,64.80000305175781,64.8,64.8,66.19000244140625,66.19
2026-08-17,True,True,68.5,68.5,68.5,66.43000030517578,66.43,66.45,68.2300033569336,68.23
2026-08-18,True,True,67.69999694824219,67.7,67.7,65.6500015258789,65.65,65.65,66.19999694824219,66.2
2026-08-19,True,True,64.37999725341797,64.38,64.35,61.29999923706055,61.3,61.3,61.83000183105469,61.83
2026-08-20,True,True,62.95000076293945,62.95,62.94,61.5,61.5,61.5,62.130001068115234,62.13
2026-08-21,True,True,63.380001068115234,63.38,63.37,61.380001068115234,61.38,61.4,62.84000015258789,62.84
2026-08-24,True,True,62.70000076293945,62.7,62.7,59.220001220703125,59.22,59.25,60.400001525878906,60.4
2026-08-25,True,True,60.84999847412109,60.85,60.84,58.75,58.75,58.75,60.150001525878906,60.15
2026-08-26,True,True,60.79999923706055,60.8,60.75,59.380001068115234,59.38,59.38,60.56999969482422,60.57
2026-08-27,True,True,64.5,64.5,64.49,62.0,62.0,62.0,63.86000061035156,63.86
2026-08-28,True,True,66.69000244140625,66.69,66.68,63.79999923706055,63.8,63.88,64.04000091552734,64.04
2026-08-31,True,True,65.0,65.0,65.0,62.5,62.5,62.5,64.83999633789062,64.84
2026-09-01,True,True,64.5,64.5,64.42,62.79999923706055,62.8,62.8,62.93999862670898,62.94
2026-09-02,True,True,62.400001525878906,62.4,62.4,61.400001525878906,61.4,61.41,61.79999923706055,61.8
2026-09-03,True,True,63.9900016784668,63.99,63.99,62.29999923706055,62.3,62.3,63.20000076293945,63.2
2026-09-04,True,True,65.30000305175781,65.3,65.3,63.29999923706055,63.3,63.31,63.68999862670898,63.69
2026-09-07,True,True,66.87999725341797,66.88,66.87,64.5999984741211,64.6,64.6,66.56999969482422,66.57
2026-09-08,True,True,66.69999694824219,66.7,66.65,64.55000305175781,64.55,64.55,64.75,64.75
2026-09-09,True,True,66.08000183105469,66.08,66.06,64.47000122070312,64.47,64.49,65.23999786376953,65.24
2026-09-10,True,True,64.66000366210938,64.66,64.64,63.790000915527344,63.79,63.79,63.90999984741211,63.91
2026-09-11,True,True,64.48999786376953,64.49,64.48,62.5,62.5,62.58,64.06999969482422,64.07
