id,scope,source_direction,opposite_direction,n,source_mean_pct,source_cash,opposite_mean_pct,opposite_cash,large_loss,status,start,end
U__bias20_gt5,primary_bounded_scan,rt,pt,154,-1.038401177909334,-48150.76939659727,0.6636184157674515,24731.022289098655,True,research_candidate_only,2024-02-21,2026-06-23
U__r5_positive_decelerate,primary_bounded_scan,rt,pt,86,-0.7871598936074868,-17216.878014447633,0.41012744882370084,4637.665478948369,True,research_candidate_only,2024-02-21,2026-06-26
U__r5_negative,primary_bounded_scan,rt,pt,52,-0.5670318243895006,-8062.3872199647585,0.19300339574815395,-124.37119453480022,True,research_candidate_only,2024-03-18,2026-06-17
U__pair_decelerate_upper_ge03,primary_bounded_scan,rt,pt,39,-1.047351309024511,-8058.243198564795,0.667217574515785,2899.0231615651765,True,research_candidate_only,2024-02-21,2026-06-04
U__pair_r5negative_volume_lt08,primary_bounded_scan,rt,pt,28,-0.919324605605375,-12120.318192257884,0.5420495645432856,7994.655444258058,True,research_candidate_only,2024-03-26,2026-06-17
R__volume_lt08,primary_bounded_scan,rt,pt,79,-0.9005740361473958,-27576.94807167267,0.5181023891011487,16492.03962067332,True,research_candidate_only,2024-03-28,2026-09-04
R__volume_08_12,primary_bounded_scan,rt,pt,54,-0.18473254758578192,-5455.027178776778,-0.19361202701154645,-2395.7913057227784,False,research_candidate_only,2024-01-30,2026-08-20
R__volume_12_15,primary_bounded_scan,rt,pt,11,-1.7263179090043972,-6645.952912719944,1.3382210338208398,5411.034210220031,True,research_candidate_only,2024-04-25,2025-11-28
R__r3_le0,primary_bounded_scan,rt,pt,102,-0.8775104906466871,-38101.56981290859,0.49689508062392346,23383.066522409437,True,research_candidate_only,2024-01-30,2026-09-04
R__r3_0_3,primary_bounded_scan,rt,pt,32,-0.08680182265872316,1293.5990702311456,-0.2978454706965512,-5204.777252730875,False,research_candidate_only,2024-04-15,2026-07-09
R__r3_3_6,primary_bounded_scan,rt,pt,9,-2.039546674361847,-8741.54171546096,1.6574327168063718,7454.411193461019,True,research_candidate_only,2024-04-02,2026-07-13
R__clv_lt04,primary_bounded_scan,rt,pt,73,-0.9245739062795789,-25395.42204863469,0.5438387340607795,14854.519952135337,True,research_candidate_only,2024-01-30,2026-09-03
R__clv_04_07,primary_bounded_scan,rt,pt,39,-1.0229548740298535,-16521.610229925845,0.6409444352709318,11091.489698426138,True,research_candidate_only,2024-03-29,2026-09-04
R__upper_ge03,primary_bounded_scan,rt,pt,57,-1.2005854978377934,-28145.343797449757,0.8195484206114979,20062.609772950254,True,research_candidate_only,2024-03-29,2026-09-04
R__bias20_le_m5,primary_bounded_scan,rt,pt,63,-0.46227905005966086,-10841.62457734172,0.08422286057228796,1515.2876333422837,False,research_candidate_only,2024-04-08,2026-07-16
R__bias20_m5_0,primary_bounded_scan,rt,pt,79,-0.7763626017321658,-27341.042688527665,0.3938852883144346,16428.02045902829,True,research_candidate_only,2024-01-30,2026-09-04
R__bias20_0_5,primary_bounded_scan,rt,pt,5,-3.961494052938639,-4472.333928749987,3.5618328005604645,4025.5421762500173,True,research_candidate_only,2024-04-19,2025-06-05
R__r5_negative,primary_bounded_scan,rt,pt,116,-0.7313128052435094,-35734.6621977485,0.3507463698745433,19111.6328952495,True,research_candidate_only,2024-01-30,2026-09-04
R__pair_volume_ge15_upper_ge03,primary_bounded_scan,rt,pt,2,-3.7748463615487253,-2116.9519627249883,3.398781848869839,1802.068580725008,True,research_candidate_only,2024-11-11,2025-11-27
R__pair_decelerate_upper_ge03,primary_bounded_scan,rt,pt,3,-0.13323180825043232,-87.86669729998846,-0.26377278891561357,-167.84670769999224,False,research_candidate_only,2024-04-16,2025-03-19
R__pair_r5negative_volume_lt08,primary_bounded_scan,rt,pt,68,-0.9175591410093382,-21119.163909529725,0.5350562810284692,11612.656484030285,True,research_candidate_only,2024-03-28,2026-09-04
D__volume_lt08,primary_bounded_scan,rt,pt,69,-0.7224235978834699,-18629.34170630272,0.327286363525948,10423.398816803237,True,research_candidate_only,2024-01-08,2026-08-04
D__volume_08_12,primary_bounded_scan,rt,pt,72,-0.3220381636970181,-4530.935821706702,-0.06172213887184869,-5770.626401292711,False,research_candidate_only,2024-01-04,2026-09-07
D__volume_12_15,primary_bounded_scan,rt,pt,11,-0.07810177091736459,140.67353961804122,-0.32115334315982175,-1358.9517691179644,False,research_candidate_only,2024-01-05,2026-03-10
D__volume_ge15,primary_bounded_scan,rt,pt,14,-0.5368980308186868,-1657.4095845539764,0.13096480654496295,342.0908135540546,True,research_candidate_only,2024-01-03,2026-04-01
D__r3_le0,primary_bounded_scan,rt,pt,114,-0.5776261529210609,-12438.677792128514,0.1858451020148535,-2201.236762870532,True,research_candidate_only,2024-01-04,2026-08-04
D__r3_0_3,primary_bounded_scan,rt,pt,38,-0.032595830182903164,-3561.0711387578576,-0.36005113493867125,-861.7452407419034,False,research_candidate_only,2024-01-03,2026-09-07
D__r3_3_6,primary_bounded_scan,rt,pt,10,-0.47293460571034995,-2563.3145031349904,0.09035276371864713,1175.7512606350388,False,research_candidate_only,2024-08-19,2026-07-23
D__r3_gt6,primary_bounded_scan,rt,pt,4,-2.398074728660646,-6113.950138924003,2.0079148655446204,5523.142202924012,True,research_candidate_only,2025-04-14,2026-08-05
D__clv_lt04,primary_bounded_scan,rt,pt,92,-0.45933605960334345,-14365.087887214646,0.06526577655820649,3030.5654512153396,False,research_candidate_only,2024-01-03,2026-09-07
D__clv_04_07,primary_bounded_scan,rt,pt,39,-0.5185875494004805,-2335.2014029218367,0.12958495594817324,-2735.101880077846,True,research_candidate_only,2024-01-17,2026-08-04
D__clv_ge07,primary_bounded_scan,rt,pt,35,-0.5407381726163146,-7976.724282808877,0.1537520250301426,3340.447888809126,True,research_candidate_only,2024-01-12,2026-08-05
D__upper_ge03,primary_bounded_scan,rt,pt,74,-0.4433333093448476,-7693.836691084714,0.05025907872261728,-1635.3506934147051,False,research_candidate_only,2024-01-08,2026-09-07
D__bias20_le_m5,primary_bounded_scan,rt,pt,75,-0.489762096100574,-7951.182241633721,0.09154031434394445,-872.9512643657063,False,research_candidate_only,2024-01-04,2026-08-04
D__bias20_m5_0,primary_bounded_scan,rt,pt,91,-0.4909616565291681,-16725.831331311638,0.10520947280871332,4508.862724312325,False,research_candidate_only,2024-01-03,2026-09-07
D__r5_positive_decelerate,primary_bounded_scan,rt,pt,22,-0.4728154020145087,-6474.3954813819155,0.08893131065521018,3463.1216448820496,False,research_candidate_only,2024-08-02,2026-07-27
D__r5_negative,primary_bounded_scan,rt,pt,124,-0.5427351301957861,-14295.024710276506,0.14991951598764686,-1258.2830137224908,True,research_candidate_only,2024-01-03,2026-09-07
