window,version,stage,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
2024,stage_v3,R,78,-0.369198164726328,-0.17418564698390587,48.717948717948715,-7261.42420384975,0.7290612398504276,0.7032223640348872,-7.203521160516589,-10151.671467649849,8
2024,stage_v3,D,59,-0.5667952167337261,0.1359660088729254,50.847457627118644,-5178.842479649869,0.537876313171238,0.5885652271111989,-11.124780081111952,-6292.657291349877,4
2024,stage_v3,C,25,-0.9822145570567726,-0.414026736411263,44.0,-3145.8701031499363,0.5088888331075658,0.6451767238129665,-8.827690427622347,-6192.185402999964,3
2025,stage,ALL,243,-0.838457905978554,-0.5531564553884558,40.74074074074074,-78280.24264005882,0.49549047189951884,0.533276518971412,-12.332728137168735,-81999.10308659288,1
2025,stage,U,104,-1.263233404264024,-0.8690803583088106,42.30769230769231,-49641.7387074845,0.42603286022575754,0.5124267437802473,-12.332728137168735,-55888.65981255251,3
2025,stage,R,45,-0.8424620355742145,-0.6386820291891546,31.11111111111111,-16541.518786471755,0.4589557706321393,0.4892365540256566,-8.223646820562418,-19603.982906470854,6
2025,stage,D,50,-0.5274145750655593,-0.46741072779320997,40.0,-8326.34351414684,0.5188352104370826,0.44387920499168915,-12.229427049039755,-8937.953180946854,4
2025,stage,C,44,-0.18380628989119308,-0.10605496934486631,47.72727272727273,-3770.641631955719,0.8385117126371525,0.796741800144762,-9.120108097805772,-6230.063158239755,3
2025,stage_v3,ALL,243,-0.838457905978554,-0.5531564553884558,40.74074074074074,-78280.24264005882,0.49549047189951884,0.533276518971412,-12.332728137168735,-81999.10308659288,1
2025,stage_v3,U,104,-1.263233404264024,-0.8690803583088106,42.30769230769231,-49641.7387074845,0.42603286022575754,0.5124267437802473,-12.332728137168735,-55888.65981255251,3
2025,stage_v3,R,55,-0.8681994300603624,-0.6386820291891546,34.54545454545455,-20768.171393805645,0.4674605384627156,0.4985084078797435,-9.120108097805772,-21780.586902444713,7
2025,stage_v3,D,51,-0.45771547551323877,-0.45285470050122756,41.17647058823529,-7678.514260696844,0.5740707358415437,0.487148056300326,-12.229427049039755,-8937.953180946855,4
2025,stage_v3,C,33,-0.03862240014651543,-0.15194824213011696,45.45454545454545,-191.81827807183026,0.9581899285909427,0.9798596181021036,-6.295431170794602,-3786.91837820588,3
2026_ytd,stage,ALL,169,-0.33909132986123836,-0.3195731659275936,44.37869822485207,-29756.313932155965,0.749939630331979,0.7914751197131981,-11.915439188277979,-34023.931948241516,1
2026_ytd,stage,U,37,0.030227072495124525,-0.3195731659275936,45.94594594594595,3263.194913238267,1.0206289615494417,1.0872051548737158,-10.700662622461781,-9040.457067893898,1
2026_ytd,stage,R,31,-0.7615423872965932,-1.1453265503356,35.483870967741936,-14881.982085647833,0.5531180006671566,0.5731762042431742,-8.628950102799992,-16893.27473698795,7
2026_ytd,stage,D,58,-0.3699069873340182,-0.18942547146773647,44.827586206896555,-11152.39469139865,0.7030707575579024,0.7232634360172221,-11.915439188277979,-16502.470636175723,4
2026_ytd,stage,C,43,-0.31075388737910314,-0.047140407143681375,48.837209302325576,-6985.132068347749,0.7320683613539918,0.7680350226921363,-9.500315327488165,-18089.63321425191,5
2026_ytd,stage_v3,ALL,169,-0.33909132986123836,-0.3195731659275936,44.37869822485207,-29756.313932155965,0.749939630331979,0.7914751197131981,-11.915439188277979,-34023.931948241516,1
2026_ytd,stage_v3,U,37,0.030227072495124525,-0.3195731659275936,45.94594594594595,3263.194913238267,1.0206289615494417,1.0872051548737158,-10.700662622461781,-9040.457067893898,1
2026_ytd,stage_v3,R,42,-0.6212452352619244,-0.7415647025257808,40.476190476190474,-16057.869361874757,0.5918319336051379,0.6109889080137466,-8.628950102799992,-22232.808866042928,8
2026_ytd,stage_v3,D,63,-0.4026395656231304,-0.2359529609192322,44.44444444444444,-13513.85272848561,0.6723792715992418,0.6887633761056235,-11.915439188277979,-19586.870266103702,5
2026_ytd,stage_v3,C,27,-0.25800903383743834,-0.17905500000001273,48.148148148148145,-3447.786755033863,0.7926966513220048,0.8324755573805845,-9.500315327488165,-14205.058093556963,4
