mode,latency,slip,window,delta_mean,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
1000_S2_WORSTBAR,next_bar_close,0.001,all,-0.14540458560301195,61,0.8959119308023227,0.2444761389361059,54.09836065573771,10101.46590278219,2.21860764601177,1.6106927159539899,-3.126018849240598,-3.0420592252994556,-4592.310738923951,3,14,4,16,1725.2240972179998,1.208853426680933,0.7501657008827877,0.2560045848265622,-0.21714784139065804,-2851.064580587843,19,25,1.2437825261470172,0.5752441261878188
1000_S2_WORSTBAR,next_bar_close,0.001,recent2024,-0.14214872481768795,37,0.622087849476166,-0.07153401821480727,48.64864864864865,5233.540296582154,1.6620503899216967,1.3491355694406042,-3.126018849240598,-3.1217438246052436,-4592.31073892395,3,9,3,12,1218.0897034179998,0.9166489898694836,0.3715712417956586,-0.3059757765568896,-0.9927089207301422,-7718.990186787882,14,15,1.1880763786221693,0.1929618087211413
1000_S2_WORSTBAR,next_bar_close,0.002,all,-0.34695951643758294,61,0.6943569999677517,0.044187021893386746,50.81967213114754,6515.129383564006,1.8357373379967195,1.3553937966064968,-3.31957450080599,-3.235782296887372,-5833.610802900002,5,14,4,16,1724.2506164360002,1.208853426680933,0.5489025200794505,0.055731208844666376,-0.41647214515371384,-5989.846167679995,22,21,1.041535773286677,0.3743367451239681
1000_S2_WORSTBAR,next_bar_close,0.002,recent2024,-0.34313358663602817,37,0.42110298765782556,-0.27119179793360554,48.64864864864865,2391.8837711640103,1.4047889118305144,1.1453880317879597,-3.31957450080599,-3.3153075892210264,-5833.610802900002,3,9,3,12,1217.376228836,0.9166489898694836,0.1710884652798256,-0.505097322946286,-1.1904459620535561,-10045.640685575989,15,12,0.985969901542519,-0.007144001046670074
OPEN,original,0.0005,all,-8.417674571953031e-18,61,0.47340314972002145,-0.21859077520178968,45.90163934426229,4443.762050097179,1.9149220652758,1.384230978024285,-3.084037157135793,-2.3144520839132072,-4045.7351286709045,5,14,4,16,1720.312949903,0.6843291153880691,0.3248993976571705,0.0005667112324675745,-0.22042248893606928,-3621.033555269847,15,21,0.7073342388769734,0.21107570731779177
OPEN,original,0.0005,recent2024,-3.750753461571475e-18,37,0.43525483941109044,-0.22862643846281455,43.24324324324324,2439.0654531971395,1.7019414394331187,1.2389728678360303,-3.084037157135793,-2.7776407629339506,-4045.7351286709054,4,9,3,12,1215.8595468029998,0.6286570166013368,0.18668891068664614,-0.23287415662373612,-0.6049943068180329,-5420.353619104899,11,13,0.8386735719499857,0.12152415674924588
OPEN,original,0.001,all,-0.10040541718038472,61,0.3729977325396368,-0.3183224382355545,44.26229508196721,2654.321090194221,1.6523722797536424,1.2104298571641647,-3.1809047346237085,-2.412088986615558,-5048.394843341884,5,14,4,16,1719.828909806,0.6843291153880691,0.22464268379823749,-0.09936457241477925,-0.32013101918117787,-5201.712206539808,16,20,0.6066966077588992,0.11093592734025229
OPEN,original,0.001,recent2024,-0.10035576047536414,37,0.3348990789357263,-0.3283480011038202,43.24324324324324,1020.3458963941766,1.4953012821724834,1.0922246052302313,-3.1809047346237085,-2.874814583847466,-5048.394843341883,4,9,3,12,1215.5041036060002,0.6286570166013368,0.08658236843328543,-0.3325576061983087,-0.7042995650101735,-6580.484380209852,11,13,0.7379191959438243,0.02149277597165286
OPEN,original,0.002,all,-0.3009157009314562,61,0.17248744878856528,-0.5174872660084407,42.62295081967213,-924.5608296120022,1.252346805322891,0.9372766070374696,-3.3743498669124476,-2.6070705015396634,-7053.714272684003,5,14,4,16,1718.860829612,0.6843291153880691,0.024429362063536637,-0.29892800819633425,-0.5192496145592568,-8363.069509080005,20,19,0.405722588173806,-0.08904388034047171
OPEN,original,0.002,recent2024,-0.3007668573055548,37,0.13448798210553572,-0.5274925588330143,43.24324324324324,-1817.093217211997,1.1706390284624362,0.8577975190599837,-3.3743498669124476,-3.068871286090949,-7053.714272684003,4,9,3,12,1214.7932172120002,0.6286570166013368,-0.11333103651070725,-0.5316260909957569,-0.9026128011459855,-8900.745902420003,14,13,0.5367120593604836,-0.17827053149013194
