gap,mode,event,start,end,sum_net,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
5,1000_S0,1,2023-05-08,2023-05-24,23.888880600308177,8,2.986110075038522,2.615482744492321,62.5,3565.0798494500123,9.535486544698154,9.513244130256002,-2.049383423114986,-2.049383423114986,-310.12727634999874,2,1,1,1,204.60515055000002,3.26313422274795,2.0278701756367257,-0.9329239942448208,,-418.768661499997,1,5,7.1522290313526655,
5,1000_S0,2,2023-08-14,2023-08-14,2.735426656425199,1,2.735426656425199,2.735426656425199,100.0,585.8166232000025,,,2.735426656425199,2.735426656425199,0.0,0,1,1,1,32.4633768,2.9906542056074903,,,,,0,1,,
5,1000_S0,3,2023-09-20,2023-09-22,-0.26193308192529546,2,-0.13096654096264773,-0.13096654096264773,50.0,-58.28740989999493,0.5985868125174111,0.5523685217641128,-0.6525273461192819,-0.6525273461192819,-130.2129379499968,1,1,1,1,39.937409900000006,0.07323601238498623,-0.6525273461192819,,,,0,0,,
5,1000_S0,4,2023-10-25,2023-11-10,9.765770298587555,13,0.7512130998913503,0.2027849479064676,53.84615384615385,1507.323017150024,3.4218203578294304,3.628676942036798,-1.4788013303933605,-1.4788013303933605,-321.33302379999617,2,2,1,1,230.41198285000002,0.9728696827031326,0.23271796332260583,-0.39618626979014543,-1.0570344245504508,-447.40613344998485,1,4,1.7217896520642064,0.27968558653497766
5,1000_S0,5,2024-01-09,2024-01-09,-1.6653400840439108,1,-1.6653400840439108,-1.6653400840439108,0.0,-219.85365094999932,0.0,0.0,-1.6653400840439108,-1.6653400840439108,-219.85365094999932,1,1,1,1,16.75865095,-1.4404852160727732,,,,,1,0,,
5,1000_S0,6,2024-01-18,2024-01-18,4.289014148753826,1,4.289014148753826,4.289014148753826,100.0,588.5381856000014,,,4.289014148753826,4.289014148753826,0.0,0,1,1,1,17.4418144,4.522246535375629,,,,,0,1,,
5,1000_S0,7,2024-04-11,2024-04-11,6.236866783277787,1,6.236866783277787,6.236866783277787,100.0,1326.3219618500025,,,6.236866783277787,6.236866783277787,0.0,0,1,1,1,21.743038150000004,6.447058823529406,,,,,0,1,,
5,1000_S0,8,2024-04-23,2024-04-23,4.5023360253030695,1,4.5023360253030695,4.5023360253030695,100.0,927.7288948500028,,,4.5023360253030695,4.5023360253030695,0.0,0,1,1,1,21.19610515,4.711024769305472,,,,,0,1,,
5,1000_S0,9,2024-07-31,2024-08-16,7.636205823181005,11,0.6942005293800914,0.3800977456945471,63.63636363636363,1620.9068281000332,2.3981576652401784,2.4202749258080076,-2.1854350439441013,-2.1854350439441013,-502.2048045999927,2,2,1,1,231.02317190000002,0.8950484830399165,0.3272492207234343,-0.8248385977937489,-2.1854350439441013,-1034.8281487499833,2,5,2.1608891926063407,0.3800977456945471
5,1000_S0,10,2024-08-30,2024-08-30,-3.4192229093350863,1,-3.4192229093350863,-3.4192229093350863,0.0,-700.4428507999994,0.0,0.0,-3.4192229093350863,-3.4192229093350863,-700.4428507999994,1,1,1,1,20.3028508,-3.2242305813385497,,,,,1,0,,
