gap,mode,window,variant,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5,ranking,removed_events
5,1000_S2,all,remove_both_events,52,0.8901470021258392,0.2914413468005073,53.84615384615385,10916.85268137517,2.4052116466030484,1.8163714258311734,-3.084037157135793,-2.5904137914045324,-3698.139202010955,3,13,4,14,1505.717318625,1.0921743694119348,0.717615480768314,0.22814364707409954,-0.2601207729280866,-2383.0764050298626,12,20,1.2427859790398692,0.5439535313526879,sum_net,"1,5"
5,1000_S2_WORSTBAR,all,all_signals,61,1.0413165164053346,0.3800977456945471,54.09836065573771,12444.093901088192,2.498298220195783,1.7861571177776046,-3.335336669416381,-3.1124494113592664,-4617.08573089495,3,14,4,16,1725.976098912,1.2534062659442202,0.8971086354979053,0.4374730752694846,-0.06309285298400455,-884.5645882128365,14,25,1.4031385126913143,0.7755674789231242,,
5,1000_S2_WORSTBAR,all,first_buyable_signal,15,1.326494562274513,0.3905942641939864,53.333333333333336,2236.5828808120314,2.6225656024375046,1.6143919288033113,-3.224159437007704,-3.224159437007704,-2256.1920565379933,3,12,4,15,394.532119188,1.5389786056190136,0.7291545601970046,-0.7555479771001815,-2.304411549366675,-2775.3694802879822,4,7,3.1419476180951067,0.7933155951663118,,
5,1000_S2_WORSTBAR,recent2024,all_signals,37,0.764236574293854,0.1324906357525098,51.35135135135135,6964.040651788148,1.8310173286383096,1.4774226616626591,-3.335336669416381,-3.2797480532120424,-4617.085730894949,3,9,3,12,1218.6193482120002,0.958230790804413,0.5163194071531377,-0.17278474674874067,-0.898994283728046,-6335.888434616887,12,15,1.3541313268393995,0.3528273079269813,,
5,1000_S2_WORSTBAR,recent2024,first_buyable_signal,11,1.50457641783147,-0.3322621595516016,45.45454545454545,1519.4055664120224,2.67182847436808,1.4576474752868016,-3.224159437007704,-3.224159437007704,-2256.1920565379933,3,8,3,11,300.169433588,1.7069968579386063,0.6861086004786541,-1.6499241050433218,-3.224159437007704,-3320.0348487879924,3,5,4.352937177809084,-0.3322621595516016,,
5,1000_S2_WORSTBAR,all,remove_best_event,54,1.037323516420653,0.2914413468005073,53.70370370370371,8298.95770758515,2.551844789456819,1.689520376178007,-3.335336669416381,-3.055049223658404,-4617.08573089495,3,14,4,15,1396.427292415,1.2534198064558564,0.8739939719974367,0.3502970200686723,-0.17621380749648893,-1147.987056528868,12,22,1.432260127797804,0.71204159906232,cash,15
5,1000_S2_WORSTBAR,all,remove_worst_event,53,1.2503770591972285,0.3905942641939864,56.60377358490566,14145.622065656138,3.1947506899858804,2.6664588247167123,-3.224159437007704,-3.038153658673562,-2721.1264984799855,3,12,4,15,1345.717934344,1.4675152038132648,1.088003745511577,0.5681073434934697,0.033164603203309405,3180.7732092651127,9,23,1.6769271316772645,0.9649225737381895,cash,13
5,1000_S2_WORSTBAR,all,remove_both_events,46,1.2775031852922378,0.38534600494426674,56.52173913043478,10000.485872153095,3.4592199183620482,3.1299125597787922,-3.224159437007704,-2.777405548014207,-961.7403218999934,3,12,4,14,1016.1691278469999,1.5001128940896054,1.0904746033909298,0.49304311062754463,-0.056236482609540776,3649.591526903086,7,20,1.755084823935119,0.9280027442673963,cash,"15,13"
5,1000_S2_WORSTBAR,all,remove_best_event,53,0.7477627717059856,0.2027849479064676,52.83018867924528,8879.01405163818,2.0008897137285686,1.5761759453218236,-3.335336669416381,-3.2145110878532925,-4617.085730894949,3,13,4,15,1521.370948362,0.9500511026530911,0.5758110059434155,0.08471946254908898,-0.4088672017001407,-4420.915034766855,13,20,1.1393099189667797,0.4446972886591736,sum_net,1
5,1000_S2_WORSTBAR,all,remove_worst_event,60,1.1124077822955518,0.38534600494426674,55.00000000000001,13104.577141688194,2.7039337878306235,1.8639317338121566,-3.335336669416381,-3.0752127361431207,-4617.085730894949,3,14,4,15,1705.652858312,1.324776748165257,0.9669606367268139,0.5040482118563426,0.00012847869646945398,-224.08134761283782,13,25,1.4741484064217707,0.8411269413512624,sum_net,10
5,1000_S2_WORSTBAR,all,remove_both_events,52,0.8241458911043258,0.2914413468005073,53.84615384615385,9539.497292238178,2.1782563881092867,1.6467559059100232,-3.335336669416381,-3.0752127361431207,-4617.085730894949,3,13,4,14,1501.0477077620003,1.0265679059217663,0.6503202303150061,0.15512114126306326,-0.3418364341928176,-3760.431794166856,12,20,1.2167932287848768,0.5148664060673394,sum_net,"1,10"
5,OPEN,all,all_signals,61,0.47340314972002157,-0.2185907752017896,45.90163934426229,4443.762050097179,1.9149220652758,1.384230978024285,-3.084037157135793,-2.3144520839132072,-4045.735128670904,5,14,4,16,1720.312949903,0.6843291153880691,0.3248993976571705,0.000566711232467622,-0.22042248893606928,-3621.033555269847,15,21,0.7073342388769734,0.21107570731779177,,
5,OPEN,all,first_buyable_signal,15,1.069119921393302,0.7217097884444075,53.333333333333336,3505.1463557750376,3.2618696754557126,2.628536966597281,-2.4712443687321075,-2.4712443687321075,-1399.8744350099992,3,12,4,15,395.33364422500006,1.281033048893867,0.4752264676720318,-0.3340017686386855,-1.2885744573833775,-1157.8713246099815,3,7,2.2479671107816417,0.6205709201060063,,
