id,window,kind,value,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,excluded,matched_primary
L2_tail_down,main2020,slip,20.0,815,-0.5964891628009408,-0.590762796971004,22.208588957055213,-113560.92527710405,0.32076015375489364,0.41951381876473387,-10.48284726385976,-4.415722299781747,-113928.63566132404,47,81,7,21,22324.205277104003,-0.0580329405839744,-0.6088513917479035,-0.6419269819544183,-0.6767659245720088,-130331.53907345602,,
L2_tail_down,main2020,exit0935close,0.0,813,-0.210211791032244,-0.27443160978825454,40.09840098400984,-31470.552815564803,0.7133163866944815,0.8165959483355318,-10.213887194477932,-4.448531970574466,-39671.24202970293,10,81,7,21,22315.932815567,0.029837018065081704,-0.2224088367981102,-0.2640243643305063,-0.30217603584186387,-50941.84038692682,2.0,-0.30079256690953154
L2_tail_down,main2020,exit0935open,0.0,813,-0.2105134692905604,-0.27816195688877926,39.48339483394834,-31180.92918981984,0.7139620690044721,0.8187486728377853,-10.213887194477932,-4.455636845154296,-39741.17996724101,10,81,7,21,22316.164189822,0.02953463212750284,-0.2227108865813751,-0.2638933807129459,-0.30194845338907217,-50422.48012896086,2.0,-0.30079256690953154
L2_tail_down,main2020,early_entry_DIAGNOSTIC,1450.0,815,-0.23755814685429677,-0.20712182208341545,36.441717791411044,-41970.721060886826,0.619181134649246,0.7152064873531185,-9.97131518981486,-4.035426079944484,-43944.69419443586,12,81,7,21,22342.486060888998,0.002406606286119209,-0.2500979543349777,-0.2843045069724645,-0.3202008495003479,-60194.03788678185,0.0,-0.29783530485799886
L2_tail_down,main2020,no_dividend,0.0,813,-0.29696749401034844,-0.2920863145321943,31.980319803198032,-53122.04613481489,0.5493589539969694,0.6551339957629905,-10.213887194477932,-4.128537162205415,-56079.692910010075,13,81,7,21,22266.471134817002,-0.057091036114110205,-0.3093963396607865,-0.3426492885070739,-0.3776752256206511,-70935.09831690294,,
L2_tail_down,old2020_2023,slip,0.0,470,-0.22855948374346555,-0.19313658773725928,34.680851063829785,-15553.122300000012,0.5077812008281972,0.5242912640171132,-10.124054586730972,-3.0892826090755356,-17173.987900000004,10,48,4,18,10853.122299999999,-0.05219178962737151,-0.2456395501982783,-0.28889775543336577,-0.3143477184977317,-20318.254600000015,,
L2_tail_down,old2020_2023,slip,10.0,470,-0.4278990622618947,-0.3925510568442898,21.48936170212766,-28294.089433899302,0.296003599237155,0.32331883776456405,-10.303630087073254,-3.282911451344519,-28912.121955099352,18,48,4,18,10847.1694339,-0.05219178962737151,-0.44494499970433976,-0.48811675161754575,-0.513515828477757,-32877.964202399315,,
L2_tail_down,old2020_2023,slip,20.0,470,-0.6268409135298125,-0.5915676517070387,15.319148936170212,-41035.0565678,0.18572020799915376,0.21126822033866582,-10.48284726385976,-3.476153930489872,-41277.172762199996,47,48,4,18,10841.2165678,-0.05219178962737151,-0.6438527901061094,-0.6869382615866129,-0.7122865541983789,-45437.6738048,,
L2_tail_down,old2020_2023,exit0935close,0.0,469,-0.3051832137007145,-0.28792499179821696,35.82089552238806,-20484.103155749322,0.5019390616682688,0.5139253585210183,-10.213887194477932,-3.5458192608261427,-22264.55307319937,10,48,4,18,10834.08815575,-0.02892926422681154,-0.32654853973608167,-0.3726704011230688,-0.4108797949200315,-25267.658375849336,1.0,-0.32835429929405213
L2_tail_down,old2020_2023,exit0935open,0.0,469,-0.3044264338102843,-0.2892190988569496,34.9680170575693,-20344.28070194931,0.5038398208181315,0.517131109817222,-10.213887194477932,-3.5448783020301264,-22244.573767849346,10,48,4,18,10834.19570195,-0.028171496324988127,-0.3257901427946035,-0.37158474006222103,-0.4092722383513994,-25057.94158669933,1.0,-0.32835429929405213
