candidate,date,clock,five_ref,one_ref,difference,covered
C00,2026-08-10,14:50,69.01,69.01000213623047,-2.1362304636340923e-06,True
C00,2026-08-31,14:50,64.83,64.83000183105469,-1.8310546892053026e-06,True
C00,2026-09-01,14:50,62.97,62.970001220703125,-1.2207031261368684e-06,True
C00,2026-09-08,14:50,64.8,64.80000305175781,-3.051757815342171e-06,True
C01,2020-03-02,09:40,17.17,,,False
C01,2020-03-04,09:40,17.08,,,False
C01,2020-03-10,09:40,15.8,,,False
C01,2020-03-12,09:40,16.31,,,False
C01,2020-03-17,09:40,13.85,,,False
C01,2020-03-19,09:40,13.55,,,False
C01,2020-03-24,09:40,12.81,,,False
C01,2020-06-16,09:40,13.83,,,False
C01,2020-07-27,09:40,14.13,,,False
C01,2020-09-01,09:40,14.73,,,False
C01,2021-02-03,09:40,13.57,,,False
C01,2021-02-04,09:40,13.26,,,False
C01,2021-02-08,09:40,13.23,,,False
C01,2021-05-10,09:40,13.46,,,False
C01,2021-07-05,09:40,12.08,,,False
C01,2021-07-19,09:40,11.48,,,False
C01,2021-07-30,09:40,10.83,,,False
C01,2021-08-30,09:40,11.66,,,False
C01,2021-08-31,09:40,11.6,,,False
C01,2021-09-17,09:40,11.72,,,False
C01,2021-10-18,09:40,11.67,,,False
C01,2021-10-29,09:40,11.19,,,False
C01,2021-11-30,09:40,11.06,,,False
C01,2022-01-28,09:40,11.1,,,False
C01,2022-02-07,09:40,11.2,,,False
C01,2022-03-09,09:40,10.67,,,False
C01,2022-03-11,09:40,10.11,,,False
C01,2022-03-16,09:40,9.74,,,False
C01,2022-04-21,09:40,9.9,,,False
C01,2022-09-20,09:40,8.91,,,False
C01,2022-09-21,09:40,8.61,,,False
C01,2022-09-23,09:40,8.7,,,False
C01,2022-12-28,09:40,9.3,,,False
C01,2023-02-08,09:40,9.34,,,False
C01,2023-02-09,09:40,9.24,,,False
C01,2023-02-28,09:40,9.71,,,False
C01,2023-04-25,09:40,18.22,,,False
