id,window,losing_direction,n,losing_mean,opposite_mean,opposite_cash,large
ALL__drawdown60__low,original_PT_window,rt,222,-0.6921805067162888,0.2709073901223857,28225.768302005745,True
ALL__drawdown60__high,primary,rt,141,-0.7082755228117492,0.3287415181793334,13777.589924262496,True
ALL__drawdown60__high,2023,rt,51,-1.085507040072301,0.5126676295120243,4693.933313000091,True
ALL__drawdown60__high,2021_2022,rt,129,-0.13895427465527307,-0.43880461188952147,-6861.9302926498385,False
ALL__drawdown60__high,2021_2022,pt,129,-0.43880461188952147,-0.13895427465527307,-1804.459002349825,False
ALL__drawdown60__high,2024,rt,53,-0.1276865625626186,-0.25753237336908424,-4591.173242749875,False
ALL__drawdown60__high,2024,pt,53,-0.25753237336908424,-0.1276865625626186,-492.19770974984203,False
ALL__drawdown60__high,2025,rt,77,-1.2967065690417965,0.9178224339823434,26757.149293958286,True
ALL__drawdown60__high,2026,pt,11,-0.9700506877084524,0.6133586286891343,5568.126632946122,True
ALL__drawdown60__high,original_PT_window,rt,192,-0.8084776445840832,0.3775968915020795,18471.523237262583,True
ALL__overnight5__low,primary,rt,130,-0.9056163070561739,0.5219386843222448,8141.564083109539,True
ALL__overnight5__low,2023,rt,70,-0.6088074633043926,0.11893670131217761,924.2302486001877,True
ALL__overnight5__low,2021_2022,rt,87,-0.3871860292193137,-0.2088514550993866,-2114.4527517998904,False
ALL__overnight5__low,2021_2022,pt,87,-0.2088514550993866,-0.3871860292193137,-3393.8130781998925,False
ALL__overnight5__low,2024,rt,55,-1.5000202793219153,1.0946996739060162,11300.166095650116,True
ALL__overnight5__low,2025,rt,51,-0.8386551922669031,0.46587080772606226,6742.948455853258,True
ALL__overnight5__low,2026,pt,24,-0.6714943457070098,0.3142670937922831,4534.842386394186,True
ALL__overnight5__low,original_PT_window,rt,200,-0.8017332117430505,0.3808879902687214,9065.794331709727,True
ALL__overnight5__high,primary,rt,137,-0.6548737810300919,0.272398520875498,14169.32480330055,True
ALL__overnight5__high,2023,rt,66,-0.3475537430713268,-0.1772082634682354,-2497.348364499885,False
ALL__overnight5__high,2023,pt,66,-0.1772082634682354,-0.3475537430713268,-2697.1584604999025,False
ALL__overnight5__high,2021_2022,rt,86,-0.27879243053266545,-0.3180918408791574,-3185.3897474499045,False
ALL__overnight5__high,2021_2022,pt,86,-0.3180918408791574,-0.27879243053266545,-2205.879497549912,False
ALL__overnight5__high,2024,rt,53,-0.9560701073306161,0.5604249634469216,5479.011841750132,True
ALL__overnight5__high,2025,rt,54,-0.3230521884261946,-0.059495533538455526,3169.4409721182165,False
ALL__overnight5__high,2025,pt,54,-0.059495533538455526,-0.3230521884261946,-10507.147216117732,False
ALL__overnight5__high,2026,rt,30,-0.7200391379195149,0.3609611036110996,5520.8719894321985,True
ALL__overnight5__high,original_PT_window,rt,202,-0.5613491047445196,0.13225538721861685,12376.791318193656,True
ALL__intraday5__low,primary,rt,130,-0.5026898960019288,0.12548874866247578,4582.343886315657,True
ALL__intraday5__low,2023,rt,68,-0.8604116909606637,0.36911817313393763,4346.783128100149,True
ALL__intraday5__low,2021_2022,rt,93,-0.3882825026960241,-0.19919835807426542,-2321.2911564498922,False
ALL__intraday5__low,2021_2022,pt,93,-0.19919835807426542,-0.3882825026960241,-3740.581518549883,False
ALL__intraday5__low,2024,rt,40,-0.19836983628587715,-0.20016547295874831,-1946.5348035999107,False
ALL__intraday5__low,2024,pt,40,-0.20016547295874831,-0.19836983628587715,-1506.6447463999014,False
ALL__intraday5__low,2025,rt,36,-1.3533523942796144,0.9711706992609004,14690.959898536155,True
ALL__intraday5__low,2026,rt,54,-0.16100383027313936,-0.19707386905408578,-8162.081208620588,False
ALL__intraday5__low,2026,pt,54,-0.19707386905408578,-0.16100383027313936,-3703.19532687866,False
ALL__intraday5__low,original_PT_window,rt,198,-0.6255438457857367,0.2091594600971192,8929.127014415806,True
ALL__intraday5__high,primary,rt,130,-0.6890387754242702,0.30966513150041686,-369.1839536274449,True
ALL__intraday5__high,2023,rt,68,-0.7726437543091708,0.2514297986983198,1453.5331124501386,True
ALL__intraday5__high,2021_2022,rt,90,-0.2869965622379641,-0.3043510915682299,-3251.6645617498802,False
