window,label,stage,n,previous20_mean_pct,day_mean_log_bp,day_linked_pct,night_mean_log_bp,night_linked_pct,intraday_mean_log_bp,intraday_linked_pct,raw_night_mean_log_bp,raw_night_linked_pct,action_mean_log_bp,action_linked_pct,daily_down_pct,intraday_down_pct,night_down_pct,rt_net_mean_pct,pt_net_mean_pct,gross_rt_arith_mean_pct,remove5_worst_daily_mean_log_bp
2021_2022,stage_contemporaneous_hindsight,D,166,-6.444255784146187,-35.720393723545115,-44.731028878389786,-8.066766756959344,-12.532975644601066,-27.65362696658579,-36.81164812805399,-9.376974206436483,-14.414796306292091,-1.3102074494771354,-2.151462994836484,51.80722891566265,49.39759036144578,48.795180722891565,-0.029722867915526762,-0.5624283011663226,0.26648589161730324,-22.019499150840254
2021_2022,stage_contemporaneous_hindsight,C,122,1.9289618431041682,50.45831005374487,85.07507778974404,0.7633874369837592,0.9356830709307226,49.69492261676108,83.35941478662787,0.7633874369837592,0.9356830709307226,0.0,0.0,38.52459016393443,40.16393442622951,45.08196721311475,-0.8005559727193752,0.21711952425180236,-0.5090921647494614,63.47930526325911
2024,stage,ALL,242,5.493689479068736,15.683367077349507,46.16084147334163,-14.684418002892365,-29.908097745193785,30.367785080241912,108.52742866358645,-15.820902254529836,-31.809561884940624,-1.1364842516374687,-2.7128157156220634,52.47933884297521,52.892561983471076,54.958677685950406,-0.5493237546948151,0.15079459107132462,-0.3501466640300118,30.79661089314739
2024,stage,U,75,26.87684312740665,13.601050257533972,10.739219454604418,-31.92717338750981,-21.294236575507444,45.528223645043916,40.700267218478494,-31.92717338750981,-21.294236575507444,0.0,0.0,54.666666666666664,54.666666666666664,56.00000000000001,-0.6992819625246591,0.3122526606331033,-0.5058937192425096,57.785252240845615
2024,stage,R,76,-4.088990295097631,5.935301910753671,4.61411451294935,-16.36222168257313,-11.693183542858126,22.297523593326797,18.466635657420547,-16.36222168257313,-11.693183542858126,0.0,0.0,53.94736842105263,50.0,48.68421052631579,-0.4573837595124157,0.06693491627326167,-0.2622248600186124,44.26143380869026
2024,stage,D,58,-12.508855961814756,-5.056229270860364,-2.8900291707870838,-38.17848574573603,-19.86321647818082,33.12225647487569,21.180270234794722,-42.92036831291306,-22.03717973555477,-4.741882567177025,-2.7128157156220634,51.724137931034484,55.172413793103445,63.793103448275865,-0.5790402402249366,0.16275429110993664,-0.3709899649299734,44.24289777395645
2024,stage,C,33,10.605652351266999,79.31740654230774,29.919837751372246,69.66029904519795,25.844771199183302,9.657107497109811,3.238169145493585,69.66029904519795,25.844771199183302,0.0,0.0,45.45454545454545,51.515151515151516,51.515151515151516,-0.36802126638805843,-0.04404427361716409,-0.16202898256732198,194.9845770513515
2024,stage_contemporaneous_hindsight,ALL,242,5.493689479068736,15.683367077349507,46.16084147334163,-14.684418002892365,-29.908097745193785,30.367785080241912,108.52742866358645,-15.820902254529836,-31.809561884940624,-1.1364842516374687,-2.7128157156220634,52.47933884297521,52.892561983471076,54.958677685950406,-0.5493237546948151,0.15079459107132462,-0.3501466640300118,30.79661089314739
2024,stage_contemporaneous_hindsight,U,75,26.909520898922356,71.48348546966193,70.93721528575516,-5.424202606409472,-3.9865134554315196,76.9076880760716,78.03458809550477,-5.424202606409472,-3.9865134554315196,0.0,0.0,49.333333333333336,50.66666666666667,48.0,-1.0155708739529399,0.6276406382665027,-0.8218111020497918,115.07545378137854
2024,stage_contemporaneous_hindsight,R,77,-2.762643208626303,-54.9173477196008,-34.4831993288521,-42.62984691600897,-27.981691980979672,-12.28750080359183,-9.027575802190961,-42.62984691600897,-27.981691980979672,0.0,0.0,59.74025974025974,53.246753246753244,55.84415584415584,-0.11152362200981743,-0.2782161283705647,0.0833670841136801,-17.32160673458275
2024,stage_contemporaneous_hindsight,D,58,-12.277815331034809,-92.48382861681591,-41.51537027275001,-34.66041795669726,-18.21124523571618,-57.82341066011868,-28.49306742008313,-39.402300523874295,-20.430023428573268,-4.741882567177025,-2.7128157156220634,60.3448275862069,63.793103448275865,65.51724137931035,0.3537156632651607,-0.7674583969430423,0.5607271389943224,-40.924751046872316
2024,stage_contemporaneous_hindsight,C,32,7.377987586865661,250.83785177120376,123.15158896323244,67.06214040005908,23.93646252207555,183.77571137114475,80.05321793292651,67.06214040005908,23.93646252207555,0.0,0.0,28.125,37.5,50.0,-2.1467725832593167,1.7298272523907117,-1.9387843618735163,383.76248977586425
2025,stage,ALL,243,11.109514629627464,44.41587087959261,194.26356589147278,-14.58655082918996,-29.844303989296435,59.002421708782514,319.4435842338118,-15.385649012609775,-31.193451989502265,-0.7990981834198201,-1.9230769230769273,47.73662551440329,44.03292181069959,51.440329218106996,-0.838457905978554,0.45507970592058017,-0.6469303993663394,64.71649750594909
2025,stage,U,104,29.720220149135578,88.8251825363889,151.87982387196254,-10.599486380134485,-10.437605500415929,99.42466891652346,181.23390992313463,-12.4666100202404,-12.15995924079254,-1.8671236401059257,-1.9230769230769273,45.19230769230769,45.19230769230769,53.84615384615385,-1.263233404264024,0.8900258584058796,-1.076898607269963,127.00377392775049
2025,stage,R,45,-1.1590774356745182,47.765173047348945,23.979157239811965,-12.781815997017306,-5.589526602801427,60.54698904436621,31.31928352717142,-12.781815997017306,-5.589526602801427,0.0,0.0,40.0,35.55555555555556,46.666666666666664,-0.8424620355742145,0.46180495745206723,-0.6522964559726246,132.76444368550858
2025,stage,D,50,-10.605128151278148,4.920146987437553,2.4905829731624545,-24.65579083860267,-11.598297209409493,29.57593782604006,15.937340274933579,-24.65579083860267,-11.598297209409493,0.0,0.0,54.0,42.0,56.00000000000001,-0.5274145750655593,0.1267083801580931,-0.32714321043933253,81.28414180701895
2025,stage,C,44,4.34372844678716,-19.095511285136844,-8.058736188173722,-14.413954685528688,-6.14521143130069,-4.68155659960845,-2.0388142001646488,-14.413954685528688,-6.14521143130069,0.0,0.0,54.54545454545454,52.27272727272727,45.45454545454545,-0.18380628989119305,-0.20670370065359497,0.01145157160887284,54.97406792626223
2025,stage_contemporaneous_hindsight,ALL,243,11.109514629627464,44.41587087959261,194.26356589147278,-14.58655082918996,-29.844303989296435,59.002421708782514,319.4435842338118,-15.385649012609775,-31.193451989502265,-0.7990981834198201,-1.9230769230769273,47.73662551440329,44.03292181069959,51.440329218106996,-0.838457905978554,0.45507970592058017,-0.6469303993663394,64.71649750594909
2025,stage_contemporaneous_hindsight,U,104,29.39783759481096,129.1139929091394,282.96963813644936,-3.7743793032014676,-3.849310678948354,132.88837221234093,298.30150032278607,-5.641502943307385,-5.698362396660881,-1.8671236401059257,-1.9230769230769273,42.30769230769231,42.30769230769231,53.84615384615385,-1.5964080684553645,1.2221962722182267,-1.4096542702561226,168.60075077284765
2025,stage_contemporaneous_hindsight,R,45,0.85284941211999,-70.11119659505216,-27.057620955281582,-34.47760464701686,-14.371260803548505,-35.63359194803523,-14.815540052070256,-34.47760464701686,-14.371260803548505,0.0,0.0,51.11111111111111,46.666666666666664,46.666666666666664,0.11793100945209262,-0.4960218634609488,0.3070531327837452,6.0589436530809335
2025,stage_contemporaneous_hindsight,D,50,-10.465441138581873,-76.8288560331945,-31.89668394866795,-54.358741850906604,-23.798855921490418,-22.470114182288064,-10.626911347727857,-54.358741850906604,-23.798855921490418,0.0,0.0,66.0,52.0,62.0,-0.003700588299713994,-0.3957515529721929,0.1960744721299381,-0.35621908957968035
2025,stage_contemporaneous_hindsight,C,44,2.8893358755188334,99.12836385517222,54.67636818899116,25.396202220474553,11.822576380335427,73.73216163469732,38.323023128084145,25.396202220474553,11.822576380335427,0.0,0.0,36.36363636363637,36.36363636363637,38.63636363636363,-0.9736522282679356,0.58146631209904,-0.7777535800261174,173.29438608623784
2026,stage,ALL,169,1.2766405886033474,2.8999466050396525,5.022990529458704,-8.126422379159354,-12.832317579179401,11.026368984199012,20.483862381975236,-9.13076401376626,-14.299361656741308,-1.0043416346069054,-1.683013746401375,49.70414201183432,47.337278106508876,50.29585798816568,-0.33909132986123836,-0.01930503834631404,-0.15993309741304237,28.024148420712265
2026,stage,U,37,18.1844045330459,-37.50362029038476,-12.956604694341408,-8.927621798080503,-3.249259528268431,-28.575998492304148,-10.033354906373264,-8.927621798080503,-3.249259528268431,0.0,0.0,54.054054054054056,48.64864864864865,51.35135135135135,0.030227072495124647,-0.38796258420216956,0.20914707376871125,55.17368352877868
