id,window,direction,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
ALL__clv__high,2023,pt,38,0.35046712313685807,-0.40835842662307087,47.368421052631575,2641.2922887000823,1.2739907970479327,1.3081906491168207,-4.300781579433084,-5050.465355299971,19
ALL__clv__high,2021_2022,rt,95,-0.25946968437981077,-0.2019070341196121,41.05263157894737,-2347.3704110998797,0.58195204146336,0.6504005195504529,-5.107730410911589,-2898.2209400999254,30
ALL__clv__high,2021_2022,pt,95,-0.32509690816631054,-0.3703148277169163,35.78947368421053,-3906.590808899902,0.5100159067324568,0.4922853618646293,-5.049697691046656,-4916.855074549905,30
ALL__clv__high,2024,rt,54,0.10726771404367774,0.6849055276291423,55.55555555555556,2083.483980100161,1.0937742203090366,1.1515055212017944,-9.235975889780406,-5074.7564760499745,16
ALL__clv__high,2024,pt,54,-0.5001727166686217,-1.062049452614433,33.33333333333333,-6954.257195099876,0.6642710738158589,0.6307202391000594,-6.319063207581208,-10016.657558249915,16
ALL__clv__high,2025,rt,50,-0.6397091670958007,0.056063134127604955,50.0,-13244.703591822756,0.5758431955527431,0.5682255904694705,-10.155278745951652,-21930.234145835868,16
ALL__clv__high,2025,pt,50,0.2560625110793305,-0.4402205279508049,42.0,6650.325009323179,1.236999847025397,1.3184171980429706,-5.6866300598875,-8881.364438504945,16
ALL__clv__high,2026,rt,38,-0.259976313697007,0.5486616371539472,55.26315789473685,-3670.0289091987443,0.8372406736547525,0.9024885452647917,-11.91543918827798,-10461.70206449998,11
ALL__clv__high,2026,pt,38,-0.0982784864966431,-0.9054694646460801,39.473684210526315,-4929.714158300835,0.9360422035684548,0.8730066883668733,-7.467996327810795,-14015.866310801966,11
ALL__clv__high,original_PT_window,rt,179,-0.39520219805416096,0.2149822942708446,52.513966480446925,-22096.53614730628,0.7376729775794622,0.7672832829667254,-11.91543918827798,-24991.054890557352,62
ALL__clv__high,original_PT_window,pt,179,-0.011780987497085622,-0.7923444985070357,40.22346368715084,-925.4154601924556,0.9911749264674635,0.9891687746839746,-7.467996327810795,-19309.85133082181,62
ALL__upper_shadow__low,primary,rt,137,-0.31510015518432627,0.0681975150567122,50.36496350364964,-16337.516269356503,0.776230881490004,0.7987288539550358,-11.91543918827798,-25384.49327017078,40
ALL__upper_shadow__low,primary,pt,137,-0.06560209474450523,-0.4258650826438902,45.25547445255474,-3140.813414642549,0.9491113569939212,0.9581497191200941,-7.467996327810795,-19256.59607898589,40
