n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,months,delete5_pct,delete5_cash,stress10bp_pct,delayed_n,delayed_pct,delayed_cash,max_cash_loss,month_ci,name,window,direction
654,0.21989924785540438,-0.10998986366487085,48.62385321100918,40694.60562051965,1.203643951560964,1.138182193115426,-8.464638457150821,-21429.77732568878,1,33,0.13403094085311332,10005.25864719064,0.11971874275617587,651,0.1311055152270716,26602.655834929657,-6082.760162564991,"[-0.03466584988254052, 0.49888263271468136]",PT_unconditional,primary,pt
242,0.11818150894383313,-0.34636648725197117,43.388429752066116,2652.9214104005023,1.1018440103855414,1.0521488834088246,-11.579930701011715,-10676.893632999738,1,12,-0.08206405026522302,-6022.126959349516,0.018038821691756815,241,0.07418677382849113,3164.822650300467,-2174.71098565,,PT_unconditional,2023,pt
485,-0.30955112549803576,-0.3019499999999636,39.381443298969074,-17336.420912499412,0.557186915925214,0.5543479083081693,-6.336124398976109,-19475.078165499435,1,24,-0.3573450329526882,-20204.05176279942,-0.4094930468268956,485,-0.3269910367659319,-17896.70651529938,-928.24222445,,PT_unconditional,2021_2022,pt
242,0.15079459107132462,-0.4381227081802064,43.80165289256198,4087.3006283005616,1.137908074551722,1.0685032324952985,-6.616509748118867,-8120.8508591997315,1,12,-0.041757273512236875,-5327.500194949447,0.05064460702670946,242,0.0962359938945161,2896.693722350584,-1758.6682910499949,,PT_unconditional,2024,pt
243,0.45507970592058017,0.1484225832080536,53.086419753086425,44549.06961056096,1.4582793325717265,1.428278532918387,-8.464638457150821,-13613.047410212945,1,12,0.237918333089219,19408.173158624937,0.3547814607702648,240,0.23110428963736665,23402.408035872933,-6082.760162564991,,PT_unconditional,2025,pt
169,-0.01930503834631404,-0.0387882765751092,49.112426035502956,-7941.764618341885,0.9837106265489337,0.9392900662399306,-7.467996327810795,-21429.77732568876,1,9,-0.3015821572264527,-37763.705705056884,-0.1193599532846095,169,0.03902692530995689,303.5540767061302,-5526.317282579988,,PT_unconditional,2026,pt
891,0.1916287108323203,-0.1790550000000127,47.13804713804714,42347.612281054106,1.1736202224777257,1.1234624450775088,-11.579930701011715,-21429.77732568878,1,45,0.1285701510923628,11658.265307725233,0.0914587658894585,887,0.11812562904307675,30828.89340912612,-6082.760162564991,,PT_unconditional,original_PT_window,pt
654,-0.6024282179441639,-0.284612086036379,45.412844036697244,-133261.92975551414,0.5978757517904338,0.6529948765409168,-12.332728137168736,-136408.69907645448,1,33,-0.6650152387515675,-159670.70560309512,-0.7026088765011063,651,-0.5138008993792559,-118741.01996142427,-7030.109121084007,"[-0.8806597953455312, -0.35202576988980533]",RT_unconditional,primary,rt
242,-0.6182521404498512,-0.1769197536597285,47.93388429752066,-22493.235640399576,0.5939464895848603,0.643429979581422,-10.90774674562256,-24418.96291614976,1,12,-0.7886144945236497,-30335.105610949595,-0.7183950252955775,241,-0.574585386439669,-22941.799172799583,-2020.477359799996,,RT_unconditional,2023,rt
485,-0.2772199355396541,-0.2908388888888888,40.824742268041234,-14337.920147499384,0.5924155482700721,0.6142541138113311,-5.552225427361832,-14600.75066024939,1,24,-0.3300216720876253,-17318.5671882994,-0.377161848619939,485,-0.259815226219394,-13778.765464699409,-739.5993634999982,,RT_unconditional,2021_2022,rt
242,-0.5493237546948151,0.0527184701029188,50.82644628099173,-25225.373183299358,0.6166201018389167,0.6573217306632825,-11.124780081111952,-29934.51526094946,1,12,-0.6740964751980713,-32187.409889349357,-0.6494738297775637,242,-0.4948480306803395,-24036.574779849405,-2187.0790907,,RT_unconditional,2024,rt
243,-0.838457905978554,-0.5531564553884558,40.74074074074074,-78280.24264005882,0.49549047189951884,0.533276518971412,-12.332728137168736,-81999.10308659288,1,12,-1.0059695908262039,-101767.92426912882,-0.9387564294950067,240,-0.6149344396038041,-56717.56668637086,-5919.709505840993,,RT_unconditional,2025,rt
169,-0.33909132986123836,-0.3195731659275936,44.37869822485207,-29756.313932155965,0.749939630331979,0.7914751197131981,-11.91543918827798,-34023.931948241516,1,9,-0.5530633531700553,-54136.311172064,-0.43914630803707955,169,-0.3973189145937306,-37986.878495204,-7030.109121084007,,RT_unconditional,2026,rt
