id,stage,factor,tail,timing,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,months,delete5_pct,delete5_cash,stress10bp_pct,delayed_n,delayed_pct,delayed_cash,max_cash_loss,2024_n,2024_pct,2025_n,2025_pct,2026_n,2026_pct,basic_pass,cluster_t,maxT_p,statistical_pass,literal_open_pass
C__overnight_minus_intraday5__high,C,overnight_minus_intraday5,high,previous_close,19,0.41626346826847593,-0.2154421080981723,42.10526315789473,3029.8118952850905,1.5605985731283738,1.6443447011007848,-2.9949263800546064,-3614.0408637439477,5,6,-0.6489583719229601,-3587.271867943942,0.31659293716994147,19.0,0.1301642488117313,1341.5806171930617,-1350.7607814209907,5,2.181869985198689,8,-0.5395190751534816,6,0.21930142872257488,False,,,False,False
R__relative_ret5__high,R,relative_ret5,high,previous_close,7,0.3994291836788809,0.777436959612295,71.42857142857143,597.9784093640302,1.3683819618056459,1.2975435843666863,-6.295431170794602,-1860.7750063859858,4,4,-3.7949799062464784,-2009.7170323359906,0.2997502287863703,7.0,0.7695258223452052,1636.8132421090293,-1220.054560899994,4,2.41485440754908,3,-2.287804448148051,0,,False,,,False,False
C__rv5_20__low,C,rv5_20,low,previous_close,22,0.3748045160601969,0.9707775448554038,68.18181818181817,4198.049266783104,1.4193172228991349,1.5087642837539375,-6.417454118864033,-4362.462024922934,8,7,-0.44976649497261306,-5816.765291836922,0.27511398359735834,22.0,0.24190287157710763,2579.9137652701147,-4107.17063607298,1,2.614135600809177,15,-0.17149612111188142,6,1.3673342615322295,False,,,False,False
C__amihud20__high,C,amihud20,high,previous_close,30,0.3707545235413754,0.2438922273196517,53.333333333333336,5141.6670008891415,1.5619489421442867,1.6029308339732435,-4.331237586947363,-3174.973129286984,3,4,-0.22603650289087127,-5023.638299635921,0.2710619715895157,30.0,0.09839780659827362,2434.619941519122,-2839.1262382439963,0,,18,0.2735986149280726,12,0.5164883864613296,False,,,False,False
U__combo_exhaustion,U,combo_exhaustion,fixed,previous_close,31,0.357546015746733,0.5283922036000006,61.29032258064516,9960.836758578185,1.2868263708154921,1.610210417916119,-12.332728137168736,-7824.641434568966,13,12,-0.7544035945493187,-9439.149927973838,0.2578433496119334,31.0,0.22549131007415224,7204.00529186415,-5919.709505840993,10,0.8330703256520351,14,-0.7461218761245509,7,1.8855613567674412,False,0.4901441100994664,1.0,False,False
R__upper_shadow__low,R,upper_shadow,low,previous_close,36,0.34037222630750036,-0.26026671979297633,47.22222222222222,4499.632586245116,1.4106741063542927,1.3743193180290432,-3.4166588620090423,-5492.988843832965,16,17,-0.3339718982729481,-6865.295946371909,0.2406623479801851,36.0,-0.11873887833973315,-3371.598629354881,-2270.369813805009,18,0.5398871483850848,8,-0.2714447769059117,10,0.47069896913857756,False,1.1494098659290068,0.9924015196960608,False,False
U__rv5_20__low,U,rv5_20,low,previous_close,26,0.33862703964224494,0.23031588393722663,61.53846153846154,8193.515302253109,1.3323861605039053,2.061834399580338,-9.70526855644401,-3460.66381369998,13,11,-0.6940210575024527,-4864.515839800916,0.23891645919718588,25.0,0.8438784926274301,8836.601683470093,-2423.2419872099795,13,0.6610337528810262,11,-0.12697833047327098,2,0.8038129392255027,False,,,False,False
C__range_pos20__high,C,range_pos20,high,previous_close,34,0.31613877798317574,0.6972378790485096,55.88235294117647,7064.543450730176,1.3271786811254922,1.9008973642326512,-8.827690427622347,-4584.840963599974,11,11,-0.3148911656110375,-762.1994849978869,0.21641886358030446,34.0,0.03524967116613312,2699.359326634108,-1477.6010775989962,13,-0.9910568985985067,10,1.7658666018086457,11,0.5430720104656465,False,,,False,False
D__signed_volume5__high,D,signed_volume5,high,previous_close,15,0.2835059544486504,-0.0625011504246577,46.666666666666664,-1317.3421221169392,1.6427722457724432,0.650024516890119,-3.230558995695023,-3332.37176651696,8,7,-0.5897667565155258,-3624.3809670469486,0.1837689608530302,15.0,0.781055975115618,3946.582720822059,-2086.9411112189846,8,0.8834002655029938,2,0.7689591443882383,5,-0.8705062192141343,False,,,False,False
R__ret5__high,R,ret5,high,previous_close,8,0.26816243307296095,1.0940420056874434,75.0,941.1405340500264,1.1619182872973692,1.315885079709111,-6.953841041699601,-1759.3217835499988,5,4,-4.174241914815133,-2830.434318499988,0.16841864556831343,8.0,-0.015324819352341867,241.84735555002817,-1759.3217835499988,6,1.285697361221581,2,-2.784442351372899,0,,False,,,False,False
