id,window,losing,losing_mean,large,opposite,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
MKT20_high,2026,pt,-3.1226271663404503,True,rt,2,2.7697938216611497,2.7697938216611497,50.0,4210.447069242029,4.498617269267817,4.970105672227808,-1.583364860164202,-1060.5377833379823,2
MKT20_low,main2020,pt,-0.654374293510257,True,rt,32,0.1800843478888629,0.05014703181088644,50.0,3520.4174425781157,1.1971346874473057,1.5194790145701174,-4.331237586947363,-2839.1262382439963,22
MKT20_low,old2020_2023,rt,-0.8352232047738557,True,pt,17,0.2832888907720889,0.0061283644421317,52.94117647058824,1040.955380900021,1.4735815848321692,1.7769197901537424,-2.317863824368367,-825.5312172499866,11
MKT20_low,recent2024,pt,-1.7170592356969157,True,rt,15,1.3307662409066106,2.160312243868787,60.0,5837.692963478087,3.1869677739563027,2.592194099444941,-4.331237586947363,-2839.1262382439963,11
MKT20_low,all_available,pt,-0.6695666007520001,True,rt,35,0.1896504662158683,0.2177698011745167,51.42857142857142,3661.9141888781205,1.2192364726228275,1.528746094593802,-4.331237586947363,-2839.1262382439963,24
MKT20_low,2019,pt,-0.8316178779972613,True,rt,3,0.2916890617039256,0.6668365459479206,66.66666666666666,141.49674630000527,1.837826668390902,1.95070191988839,-1.0444489512280597,-148.83397554999848,2
MKT20_low,2020,rt,-0.9202493000093493,True,pt,2,0.39889583108297194,0.39889583108297194,50.0,198.8393564500064,1.8659147367845692,2.413347482088753,-0.9213281958087592,-140.68681549999752,2
MKT20_low,2021,pt,-0.8270359184504151,True,rt,5,0.26265419765648573,0.2177698011745167,60.0,144.53010660000797,2.493854125380629,2.1766158362366315,-0.7616402122377435,-122.83542524999746,4
MKT20_low,2022,rt,-0.740854641539145,True,pt,3,0.11980844429672992,0.0061283644421317,66.66666666666666,13.605975500002188,1.2709984007730888,1.1050009347345917,-1.3263005680655,-129.57956549999935,2
MKT20_low,2023,rt,-1.635571849257406,True,pt,7,1.1134105343316363,1.5329041132414394,71.42857142857143,1323.6601055500064,3.183508466465152,3.4358077921632977,-2.2137851004029483,-329.63260144999896,3
MKT20_low,2024,pt,-2.4707594107366933,True,rt,5,2.0605738006286556,4.045522958046783,60.0,2314.426670050011,4.458889454679473,6.449660055676065,-2.8267120072254235,-391.2169417999986,5
MKT20_low,2025,pt,-2.1018906045178705,True,rt,5,1.7105911344415385,2.2611785734605547,60.0,3047.7560445010445,6.338485709272352,11.726466223205092,-1.0589240127478876,-284.1342135500024,3
MKT20_low,2026,pt,-0.578527691836183,True,rt,5,0.22113378764963754,1.0750771913824777,60.0,475.51024892703094,1.2431816209646398,1.160774658597768,-4.331237586947363,-2839.1262382439963,3
REL20_high,main2020,pt,-0.8019870189557355,True,rt,49,0.33299762129053273,0.7265464680488039,57.14285714285714,9350.079270435192,1.3079481302179183,1.844364710990598,-10.90774674562256,-3491.6156431999643,31
