id,window,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,episodes,delete5_pct,delete5_cash,double_slip_pct,double_slip_cash,matched_n,excluded_n,matched_open_pct,matched_open_cash,delayed_pct,delayed_cash,month_ci_low,month_ci_high,down_pct,gross_mean_pct,cost_drag_pct,gross_cash,cost_cash,largest_month,largest_month_cash,delete_largest_month_cash
MKT20_high,2021,7,-0.805486013505156,-0.367008581270642,42.857142857142854,-733.8693623499869,0.47086783149682365,0.5167912764640437,-5.107730410911589,-1300.459991099994,4,6.0,-4.404890379053142,-1300.4599910999943,-0.905700721673359,-829.9364246999905,7.0,0.0,-0.805486013505156,-733.8693623499869,-0.09183444810073646,-24.941103799984862,-1.1925656559701872,-0.12514210811142784,42.857142857142854,-0.5294110422897196,0.2760749712154364,-469.999999999999,263.8693623499882,2021-06,14.660580250001964,-748.5299425999889
MKT20_high,2022,2,-0.5818144814912813,-0.5818144814912813,0.0,-107.32566524999899,0.0,0.0,-0.6407142560307041,-107.32566524999899,2,2.0,,,-0.6819001956263279,-125.81143049999615,2.0,0.0,-0.5818144814912813,-107.32566524999899,-0.2627897862956069,-47.416234949997815,-0.6407142560307041,-0.5229147069518585,0.0,-0.27142555586828765,0.31038892562299364,-50.00000000000071,57.32566524999828,2022-06,-48.89252509999877,-58.43314015000022
MKT20_high,2023,3,-1.7304805653722373,2.177173291244969,66.66666666666666,-284.10677089999206,0.5240592014844758,0.7466310314788135,-10.90774674562256,-1121.316365449999,2,2.0,,,-1.8311719865986864,-325.7209417999948,3.0,0.0,-1.7304805653722373,-284.10677089999206,-1.2845861138358354,-124.3482900999918,-3.68430749368084,2.177173291244969,66.66666666666666,-1.4661611246079083,0.26431944076432884,-179.99999999999784,104.10677089999416,2023-09,430.2094423500058,-714.3162132499979
MKT20_high,2024,8,1.6082921189530932,1.0628434111385987,75.0,3289.1627683000365,3.659311741483919,4.056624063763911,-4.650157583560376,-1076.076972399994,5,7.0,-1.3535945596006405,-883.5835811999898,1.5092179166651423,3098.440936600036,8.0,0.0,1.6082921189530932,3289.1627683000365,0.9586956960975022,1850.6168011000298,-0.42568391940828404,3.5162752508623822,75.0,1.8015774083258718,0.19328528937277828,3660.0000000000073,370.8372316999711,2024-10,1596.657661000006,1692.5051073000304
MKT20_high,2025,5,0.4539027662680709,0.7747852864023691,80.0,512.384283700011,1.9694753528298299,1.9389824284958266,-2.34097114972114,-545.6803749999976,2,5.0,,,0.35425229570265315,395.66356740001095,5.0,0.0,0.4539027662680709,512.384283700011,0.8065781435746897,961.9298984500124,-0.0909869519704491,1.8159282192028983,80.0,0.6490523786399005,0.1951496123718295,739.9999999999984,227.6157162999874,2025-05,350.83733195,161.54695175001098
MKT20_high,2026,2,2.7697938216611497,2.7697938216611497,50.0,4210.447069242029,4.498617269267817,4.970105672227808,-1.583364860164202,-1060.5377833379823,2,2.0,,,2.6712925092282074,4071.732638484044,2.0,0.0,2.7697938216611497,4210.447069242029,2.1153464752430344,3191.615048088009,-1.583364860164202,7.122952503486502,50.0,2.946946648051457,0.17715282639030705,4460.000000000007,249.5529307579784,2026-05,5270.984852580012,-1060.5377833379825
MKT20_low,main2020,32,0.1800843478888629,0.05014703181088644,50.0,3520.4174425781157,1.1971346874473057,1.5194790145701174,-4.331237586947363,-2839.1262382439963,22,31.0,-0.5708423052908925,-3185.6266256659383,0.08033048455415284,2744.142197156088,32.0,0.0,0.1800843478888629,3520.4174425781157,0.11576832413530502,2471.4224824381035,-0.795688355957649,1.246725611239326,56.25,0.41725037846941715,0.2371660305805543,5170.000000000001,1649.5825574218866,2026-04,1882.3494694860215,1638.0679730920942
MKT20_low,old2020_2023,17,-0.8352232047738557,-0.6192106897809984,41.17647058823529,-2317.2755208999715,0.2937616354697838,0.25498580187914116,-3.76286333553386,-2463.400864299971,11,17.0,-1.6389592833181925,-3058.3603679999787,-0.9354544543890198,-2552.862041799974,17.0,0.0,-0.8352232047738557,-2317.2755208999715,-0.9266002911083502,-2477.2638866999678,-1.757167519296911,0.06278603296967698,47.05882352941176,-0.5595524583314405,0.2756707464424152,-1679.9999999999977,637.2755208999736,2021-08,201.4273613500012,-2518.702882249973
MKT20_low,recent2024,15,1.3307662409066106,2.160312243868787,60.0,5837.692963478087,3.1869677739563027,2.592194099444941,-4.331237586947363,-2839.1262382439963,11,14.0,-0.12139477616985528,-868.3511047659665,1.2315534153564152,5297.004238956062,15.0,0.0,1.3307662409066106,5837.692963478087,1.2971194214114476,4948.686369138072,-0.32130876456957386,2.8232923038468503,66.66666666666666,1.5242935935103892,0.1935273526037786,6850.0,1012.3070365219128,2026-04,1882.3494694860215,3955.3434939920658
MKT20_low,all_available,35,0.1896504662158683,0.2177698011745167,51.42857142857142,3661.9141888781205,1.2192364726228275,1.528746094593802,-4.331237586947363,-2839.1262382439963,24,34.0,-0.48458916859141077,-3044.1298793659334,0.08990387430612143,2841.900889756095,32.0,3.0,0.1800843478888629,3520.4174425781157,0.11576832413530502,2471.4224824381035,-0.6828692277313458,1.2037542982138913,57.14285714285714,0.4296518569181131,0.24000139070224483,5430.000000000004,1768.0858111218827,2026-04,1882.3494694860215,1779.564719392099
MKT20_low,2018,0,,,,0.0,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,
MKT20_low,2019,3,0.2916890617039256,0.6668365459479206,66.66666666666666,141.49674630000527,1.837826668390902,1.95070191988839,-1.0444489512280597,-148.83397554999848,2,3.0,,,0.19202003166045276,97.75869260000685,0.0,3.0,,0.0,,0.0,-0.18880620264006953,1.252679590391916,66.66666666666666,0.5619342937042027,0.27024523200027706,260.0000000000016,118.50325369999634,2019-11,198.1739112000011,-56.67716489999583
MKT20_low,2020,2,-0.9202493000093493,-0.9202493000093493,50.0,-380.8707914499936,0.17402484243084113,0.13454984019842758,-2.2282735541771954,-440.0840269499961,2,2.0,,,-1.020529254483096,-416.0182828999981,2.0,0.0,-0.9202493000093493,-380.8707914499936,-1.4150538923588778,-520.6594621499958,-2.2282735541771954,0.3877749541584968,50.0,-0.6599023484452793,0.26034695156407006,-290.0000000000009,90.8707914499927,2020-08,59.21323550000247,-440.0840269499961
MKT20_low,2021,5,0.26265419765648573,0.2177698011745167,60.0,144.53010660000797,2.493854125380629,2.1766158362366315,-0.7616402122377435,-122.83542524999746,4,5.0,,,0.1629767591209678,82.51121320000871,5.0,0.0,0.26265419765648573,144.53010660000797,0.12698055583176796,74.63577125000785,-0.7616402122377434,0.8188018062440087,80.0,0.5451174777873891,0.28246328013090327,320.0000000000003,175.46989339999232,2021-08,201.4273613500012,-56.89725474999324
MKT20_low,2022,3,-0.740854641539145,-0.6192106897809984,33.33333333333333,-186.29407549999598,0.2446227894307265,0.2740315484280005,-2.323112554181377,-197.2322558499989,2,3.0,,,-0.8410199170451187,-214.18015099999565,3.0,0.0,-0.740854641539145,-186.29407549999598,-0.7819962472359417,-196.27898054999133,-2.323112554181377,0.05027431478197092,33.33333333333333,-0.4305467064817677,0.3103079350573773,-99.99999999999966,86.29407549999632,2022-08,10.93818035000291,-197.2322558499989
