id,window,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,ci_low,ci_high,increment,inc_low,inc_high,p_mean,p_inc
ON1_F2,2019,50,-0.27540709988448897,-0.20388699355539816,38.0,-1956.6371053999317,0.5474232242021967,0.5379398584944335,-10.234040128153762,-5.099606938196428,-2801.830299799946,6.0,12.0,1.0,19.0,1222.0271053999998,0.0014123997114408127,-0.34275607422916965,-0.5523102271234903,-0.6991914149016379,-3451.7528572999354,,,,,,,
ON1_F2,2020,52,-0.2815114074693868,-0.13123050746088394,40.38461538461539,-2456.825583799924,0.5217215398013848,0.48089448621631997,-5.966708952003329,-4.195902792875933,-2476.3730854999326,11.0,12.0,1.0,16.0,1313.3955838000002,-0.008868698967196682,-0.35321851378710994,-0.5261834079743978,-0.6802370343023065,-3878.213439999936,,,,,,,
ON1_F2,2021,53,-0.3474014616424878,-0.2861913627108582,13.20754716981132,-2326.720649399925,0.05997603051922227,0.058853678381469036,-1.949177580461522,-1.3167146057312837,-2326.720649399925,14.0,12.0,1.0,14.0,1221.3906494,-0.0636195663004741,-0.36146478140551747,-0.40585033057256786,-0.4534205819386325,-2459.8413974999303,,,,,,,
ON1_F2,2022,52,-0.3470019257744642,-0.359235016553761,25.0,-1764.7736248999493,0.22865216013138384,0.22129046102144187,-1.5702953830544737,-1.5568503443720016,-1861.170676649955,13.0,11.0,1.0,18.0,1034.0986249,-0.0402350599036673,-0.376136718712785,-0.47548699911348435,-0.5551609788819731,-2169.9109839499515,,,,,,,
ON1_F2,2023,57,-0.2789914048268227,-0.2240862802127951,36.84210526315789,-2214.7365178999175,0.6405875011845185,0.6995688702879946,-10.213887194477932,-7.869683476025866,-4126.70977074995,9.0,12.0,1.0,13.0,1243.2665178999998,-0.03373510778620661,-0.4210138379384943,-0.688405644791687,-0.8685577001094076,-5995.860163099924,,,,,,,
ON1_F2,2024,59,-0.5086764467996414,-0.5311094609445874,30.508474576271187,-6523.890099749846,0.43957287072635287,0.4491865689511646,-5.695300769436614,-4.928452613676493,-6660.901734099886,8.0,12.0,1.0,16.0,1267.8350997500002,-0.31057862906493255,-0.5653985403901568,-0.7605699324929888,-0.9832888598025277,-9053.24686104986,,,,,,,
ON1_F2,2025,57,-0.0704834679359291,-0.26274650416747675,40.35087719298245,-5228.058314425782,0.8997418112967096,0.670174753003642,-5.215617274046827,-3.818238560425907,-7878.971249279895,4.0,12.0,1.0,14.0,1672.4633144260001,0.12293174702035725,-0.23930689188998291,-0.4892117687399944,-0.6955390597125498,-11900.39078080681,,,,,,,
ON1_F2,2026,45,-0.12603418859315052,-0.463780826167714,40.0,-2454.43263859975,0.8415894937395144,0.8858578763469215,-4.509113854214751,-3.19734427096244,-6673.07072344492,4.0,9.0,1.0,8.0,2196.5526386,0.05297678542490132,-0.23826481846094794,-0.5144255489306049,-0.8174625372822036,-12318.282752995778,,,,,,,
ON1_F3,all,303,-0.4488730294862658,-0.3735357603221924,33.33333333333333,-34764.90103594727,0.4814303990761497,0.52069384440638,-10.234040128153762,-5.20112463415556,-35345.8014980643,10.0,74.0,9.0,93.0,8509.876035948,-0.21447936543245563,-0.4814309808206278,-0.5690129542929755,-0.641764965257861,-47169.2972208533,,,,,,,
ON1_F3,main2020,237,-0.3926015812383595,-0.3575750960751708,32.06751054852321,-28002.430329447365,0.5590121338736176,0.5669682668170452,-10.213887194477932,-5.276190954327947,-29408.399501264405,10.0,58.0,7.0,72.0,6855.750329448001,-0.16901636717556504,-0.4340262840126368,-0.5457064965450835,-0.6390977164744754,-40406.82651435339,-0.6391189469737073,-0.14467826765807032,-0.06346617861307235,-0.2962639918123669,0.16428483491464269,0.999000499750125,0.7146426786606697
