date,cash,shares,open_equity,equity,id
2021-02-22,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-02-23,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-02-24,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-02-25,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-02-26,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-01,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-02,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-03,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-04,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-05,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-08,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-09,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-10,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-11,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-12,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-15,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-16,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-17,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-18,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-19,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-22,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-23,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-24,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-25,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-26,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-29,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-30,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-03-31,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-01,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-02,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-06,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-07,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-08,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-09,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-12,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-13,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-14,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-15,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-16,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-19,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-20,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-21,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-22,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-23,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-26,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-27,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-28,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-29,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-04-30,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-05-06,5917.423997500087,1000,19599.532534200087,19587.42399750009,ON1_F3
2021-05-07,6099.658434700088,1000,19561.652569200087,19549.65843470009,ON1_F3
2021-05-10,6042.1147845000905,1000,19574.14531970009,19562.11478450009,ON1_F3
2021-05-11,19466.67764400009,0,19466.67764400009,19466.67764400009,ON1_F3
2021-05-12,19466.67764400009,0,19466.67764400009,19466.67764400009,ON1_F3
2021-05-13,19466.67764400009,0,19466.67764400009,19466.67764400009,ON1_F3
2021-05-14,19466.67764400009,0,19466.67764400009,19466.67764400009,ON1_F3
2021-05-17,19466.67764400009,0,19466.67764400009,19466.67764400009,ON1_F3
2021-05-18,19466.67764400009,0,19466.67764400009,19466.67764400009,ON1_F3
2021-05-19,19466.67764400009,0,19466.67764400009,19466.67764400009,ON1_F3
2021-05-20,19466.67764400009,0,19466.67764400009,19466.67764400009,ON1_F3
2021-05-21,19466.67764400009,0,19466.67764400009,19466.67764400009,ON1_F3
2021-05-24,19466.67764400009,0,19466.67764400009,19466.67764400009,ON1_F3
2021-05-25,6815.10471760009,1000,19466.67764400009,19455.10471760009,ON1_F3
2021-05-26,6779.48859760009,1000,19351.01992320009,19339.488597600088,ON1_F3
2021-05-27,6653.886861700092,1000,19285.44938790009,19273.88686170009,ON1_F3
2021-05-28,19189.802067300094,0,19189.802067300094,19189.802067300094,ON1_F3
2021-05-31,19189.802067300094,0,19189.802067300094,19189.802067300094,ON1_F3
2021-06-01,19189.802067300094,0,19189.802067300094,19189.802067300094,ON1_F3
2021-06-02,19189.802067300094,0,19189.802067300094,19189.802067300094,ON1_F3
2021-06-03,19189.802067300094,0,19189.802067300094,19189.802067300094,ON1_F3
2021-06-04,19189.802067300094,0,19189.802067300094,19189.802067300094,ON1_F3
2021-06-07,19189.802067300094,0,19189.802067300094,19189.802067300094,ON1_F3
2021-06-08,19189.802067300094,0,19189.802067300094,19189.802067300094,ON1_F3
2021-06-09,19189.802067300094,0,19189.802067300094,19189.802067300094,ON1_F3
