id,window,universe,unknown,hit,not_hit,base_mean,nonhit_mean
ON2_F2,all,2006,386,411,1209,-0.31789903365074423,-0.269622920308665
ON2_F2,main2020,1623,3,411,1209,-0.31789903365074423,-0.269622920308665
ON2_F2,old2020_2023,970,2,234,734,-0.33405890491844586,-0.3269161068362773
ON2_F2,recent2024,653,1,177,475,-0.29390707753550616,-0.18108986996915477
ON2_F2,2018,139,139,0,0,,
ON2_F2,2019,244,244,0,0,,
ON2_F2,2020,243,1,51,191,-0.36093709399308527,-0.35645309404489733
ON2_F2,2021,243,0,59,184,-0.31827636039975105,-0.34508256947140525
ON2_F2,2022,242,0,57,185,-0.35644635025818466,-0.36342224140219925
ON2_F2,2023,242,1,67,174,-0.30050236877638486,-0.23646881616727977
ON2_F2,2024,242,0,68,174,-0.32477225879511246,-0.15770845566291858
ON2_F2,2025,243,1,63,179,-0.2871384408912706,-0.18246858325880227
ON2_F2,2026,168,0,46,122,-0.25919657874431745,-0.21241426677602546
ON2_F3,all,2006,383,244,1379,-0.3291354026252871,-0.3155543592624613
ON2_F3,main2020,1623,0,244,1379,-0.3291354026252871,-0.3155543592624613
ON2_F3,old2020_2023,970,0,120,850,-0.34777703776664354,-0.34742016215086924
ON2_F3,recent2024,653,0,124,529,-0.3014441528747272,-0.264352218515492
ON2_F3,2018,139,139,0,0,,
ON2_F3,2019,244,244,0,0,,
ON2_F3,2020,243,0,34,209,-0.3810473180402405,-0.44305038482783865
ON2_F3,2021,243,0,18,225,-0.31827636039975105,-0.3092495042930646
ON2_F3,2022,242,0,11,231,-0.35644635025818466,-0.3664820766934064
ON2_F3,2023,242,0,57,185,-0.33532254549688256,-0.26200599576813055
ON2_F3,2024,242,0,52,190,-0.32477225879511246,-0.3074990420254571
ON2_F3,2025,243,0,40,203,-0.3074202467890301,-0.18551986104269771
ON2_F3,2026,168,0,32,136,-0.25919657874431745,-0.3217424545455205
ON2_F4,all,2006,383,296,1327,-0.3291354026252871,-0.35692498092291436
ON2_F4,main2020,1623,0,296,1327,-0.3291354026252871,-0.35692498092291436
ON2_F4,old2020_2023,970,0,124,846,-0.34777703776664354,-0.3522472659055822
ON2_F4,recent2024,653,0,172,481,-0.3014441528747272,-0.3651523133650412
ON2_F4,2018,139,139,0,0,,
ON2_F4,2019,244,244,0,0,,
ON2_F4,2020,243,0,32,211,-0.3810473180402405,-0.4143097147433477
