id,sort,k,delete,status,n,years,months,mean,median,win,cash,mean_cash,pf,pf_cash,worst,worst_cash,tail5,tail5_cash,longest_loss,fee,max_extra_cash,need_extra_n
S1_F6,net,1,worst,diagnostic_only,602.0,7.0,78.0,-0.18579894469462313,-0.2039136862931273,36.04651162790697,-19119.895780110593,-31.76062421945281,0.6321479356306708,0.7534425814196942,-6.080902189917678,-3118.429601099998,-3.1382466924071974,-1293.1073061158006,385.0,15569.080780112,3118.429601100004,385.0
S1_F6,net,1,both,diagnostic_only,601.0,7.0,78.0,-0.2023716076750829,-0.20391376236933342,35.94009983361065,-20981.913552110593,-34.91166980384458,0.6000022787197354,0.7294312426292107,-6.080902189917678,-3118.429601099998,-3.1382466924071974,-1293.1073061158006,385.0,15549.198552112,3118.429601100004,385.0
S1_F6,net,5,best,diagnostic_only,598.0,7.0,78.0,-0.24841246978894074,-0.2044546677435082,35.45150501672241,-27285.640425419617,-45.628161246521096,0.5243346487553259,0.6535947119720308,-8.235700377192982,-3118.429601099998,-3.3752858186551804,-1329.4785397325613,386.0,15459.910425421001,3118.429601100004,386.0
S1_F6,net,5,worst,diagnostic_only,598.0,7.0,78.0,-0.15330722470612979,-0.20391286911672685,36.2876254180602,-12455.566167010606,-20.828705964900678,0.6770681252372595,0.8242801888856798,-3.950006198907945,-2546.041079933996,-2.780618199920844,-1173.435529907994,381.0,15441.421167012002,2546.041079933988,381.0
S1_F6,net,5,both,diagnostic_only,593.0,7.0,78.0,-0.2025998519809377,-0.20391376236933342,35.750421585160204,-19400.78001641961,-32.71632380509209,0.5768046128597079,0.7262989611034331,-3.950006198907945,-2546.041079933996,-2.780618199920844,-1173.435529907994,381.0,15307.130016421,2546.041079933988,381.0
S1_F6,cash,1,best,diagnostic_only,602.0,7.0,78.0,-0.2063926025579904,-0.20391383781200478,35.880398671096344,-22901.9416356196,-38.04309241797276,0.6021516517429317,0.7092480306492734,-8.235700377192982,-3118.429601099998,-3.3354610298049043,-1309.7721832611878,386.0,15545.931635621002,3118.429601100004,386.0
S1_F6,cash,1,worst,diagnostic_only,602.0,7.0,78.0,-0.19151745105752505,-0.2039136862931273,36.04651162790697,-17221.99697491058,-28.60796839686143,0.6250710536825775,0.7723449807887968,-8.235700377192982,-2546.041079933996,-3.249296396615807,-1231.8847640125748,385.0,15542.331974912,2546.041079933988,385.0
S1_F6,cash,1,both,diagnostic_only,601.0,7.0,78.0,-0.19876071080396693,-0.20391376236933342,35.94009983361065,-19783.51203451959,-32.917657295373694,0.6115374646817242,0.738484693799163,-8.235700377192982,-2546.041079933996,-3.249296396615807,-1231.8847640125748,385.0,15494.062034521,2546.041079933988,385.0
S1_F6,cash,5,best,diagnostic_only,598.0,7.0,78.0,-0.23996005939335557,-0.2044546677435082,35.45150501672241,-31081.067891028615,-51.97502991810805,0.5405194995524546,0.6054098013774928,-8.235700377192982,-3118.429601099998,-3.3752858186551804,-1329.4785397325613,386.0,15369.312891030002,3118.429601100004,386.0
S1_F6,cash,5,worst,diagnostic_only,598.0,7.0,78.0,-0.16968902249144333,-0.20391286911672685,36.2876254180602,-8546.940840316602,-14.292543211231775,0.65448371783136,0.8723851139822348,-8.235700377192982,-1633.135730957996,-3.1071620357747594,-1043.1480190181944,381.0,15342.565840318,1633.135730957998,381.0
S1_F6,cash,5,both,diagnostic_only,593.0,7.0,78.0,-0.21059609761172604,-0.20391376236933342,35.750421585160204,-19287.582155334618,-32.52543365149177,0.5747751870169259,0.7120159546792728,-8.235700377192982,-1633.135730957996,-3.1071620357747594,-1043.1480190181944,381.0,15117.677155336001,1633.135730957998,381.0
S1_F7,net,1,best,diagnostic_only,763.0,7.0,81.0,-0.13873226688031334,-0.197623296023375,41.8086500655308,-5297.390493816958,-6.942844683901649,0.7598899378523295,0.9553159572143618,-10.200745196903522,-4348.957669794001,-4.087016518820172,-1533.1357437629433,444.0,20990.705493819005,4348.957669793992,443.0
S1_F7,net,1,worst,diagnostic_only,763.0,7.0,81.0,-0.11258286282146199,-0.19677786738351125,41.9397116644823,-777.5727587169531,-1.0190992905857839,0.8005324326434891,0.9932957813947247,-8.235700377192982,-4348.957669794001,-3.8841367417912602,-1487.4562434706356,443.0,20998.337758719004,4348.957669793992,442.0
