date,open,high,low,close,preclose,volume
2019-08-30,12.1432963500,12.3195294000,11.7740461500,11.9251030500,12.0593758500,53929824
2019-09-02,11.8495746000,12.2607850500,11.8243984500,12.1852566000,11.9251030500,57653209
2019-09-03,12.1936486500,12.6216432000,11.9083189500,12.5964670500,12.1852566000,87521568
2019-09-04,12.5041545000,12.8062683000,12.3279214500,12.6971716500,12.5964670500,73173538
2019-09-05,12.7643080500,13.2258708000,12.6132511500,12.7559160000,12.6971716500,96705743
2019-09-06,12.9153649500,13.1419503000,12.6719955000,12.8482285500,12.7559160000,65861418
2019-09-09,13.0244616000,13.0832059500,12.6887796000,12.8901888000,12.8482285500,83065310
2019-09-10,12.8230524000,12.9573252000,12.5209386000,12.6719955000,12.8901888000,57591065
2019-09-11,12.7391319000,12.9908934000,12.6384273000,12.7643080500,12.6719955000,60017130
2019-09-12,12.8146603500,13.3937118000,12.4538022000,12.8482285500,12.7643080500,96727879
2019-09-16,12.6384273000,12.6384273000,12.2607850500,12.4873704000,12.8482285500,72749947
2019-09-17,12.0929440500,12.2188248000,11.8663587000,11.8915348500,12.4873704000,65095874
2019-09-18,11.8915348500,12.2523930000,11.8747507500,12.0509838000,11.8915348500,51909373
2019-09-19,12.1265122500,12.2020407000,11.9838474000,12.1600804500,12.0509838000,31964694
2019-09-20,12.1432963500,12.3782737500,12.0677679000,12.1600804500,12.1600804500,42925560
2019-09-23,12.0258076500,12.0677679000,11.7572620500,11.9251030500,12.1600804500,35798222
2019-09-24,11.9754553500,13.0832059500,11.9754553500,13.0832059500,11.9251030500,160277220
2019-09-25,12.9908934000,13.0915980000,12.6971716500,12.8734047000,13.0832059500,98474999
2019-09-26,13.2174787500,13.3097913000,12.3363135000,12.6132511500,12.8734047000,103226602
2019-09-27,12.5880750000,12.8901888000,12.2523930000,12.6468193500,12.6132511500,60221589
2019-09-30,12.5880750000,12.5880750000,12.0761599500,12.0845520000,12.6468193500,45143924
2019-10-08,12.1936486500,12.6216432000,12.1936486500,12.2523930000,12.0845520000,46621007
2019-10-09,12.0258076500,12.0425917500,11.6733415500,11.9418871500,12.2523930000,50105556
2019-10-10,11.8915348500,12.3782737500,11.8411825500,12.2859612000,11.9418871500,54056091
2019-10-11,12.3447055500,12.5880750000,12.2859612000,12.4370181000,12.2859612000,48707903
2019-10-14,12.7139557500,12.9825013500,12.6300352500,12.7559160000,12.4370181000,59594040
2019-10-15,12.7559160000,12.8314444500,12.5125465500,12.5125465500,12.7559160000,27044701
2019-10-16,12.5880750000,12.6803875500,12.3698817000,12.3950578500,12.5125465500,24281097
2019-10-17,12.4034499000,12.9741093000,12.4034499000,12.7643080500,12.3950578500,55812669
2019-10-18,12.8062683000,12.9573252000,12.5712909000,12.7810921500,12.7643080500,41439804
2019-10-21,12.7475239500,12.8398365000,12.4789783500,12.8230524000,12.7810921500,28316710
2019-10-22,12.8650126500,13.3433595000,12.8314444500,13.2678310500,12.8230524000,86066670
2019-10-23,13.1335582500,13.9391950500,13.1335582500,13.5195925500,13.2678310500,108712758
2019-10-24,13.4944164000,13.6370812500,13.3265754000,13.5867289500,13.5195925500,49963113
2019-10-25,13.5112005000,13.5112005000,13.1251662000,13.3265754000,13.5867289500,52842969
2019-10-28,13.4776323000,13.7881381500,13.2342628500,13.4356720500,13.3265754000,55365758
2019-10-29,13.3013992500,13.6790415000,13.1755185000,13.1755185000,13.4356720500,45735876
2019-10-30,13.0160695500,13.3517515500,12.9741093000,13.2342628500,13.1755185000,30080542
2019-10-31,13.1755185000,13.4188879500,12.7810921500,12.8817967500,13.2342628500,46107177
2019-11-01,12.9237570000,13.1503423500,12.8734047000,13.0832059500,12.8817967500,28433516
2019-11-04,12.9741093000,13.4524561500,12.8901888000,13.2426549000,13.0832059500,48616023
2019-11-05,13.2678310500,13.4104959000,13.1587344000,13.3433595000,13.2426549000,37308335
2019-11-06,13.2678310500,13.5112005000,13.0244616000,13.1083821000,13.3433595000,34993822
2019-11-07,13.1167741500,13.1503423500,12.5209386000,12.8566206000,13.1083821000,56258083
