stock,initialcash,slip_bp,sales,completed,pending,increment,completed_increment,mean_pct,fees,tax_paid,terminal_tax_reserve,terminal_receivable,terminal_missing,deposits,withdrawals,unreturned,peak_requirement,peak_date,peak_pct_1000_value,single_median,single_p95,single_max,single_max_date,single_positive,first_deposit,deposit_yuan_days,longest_relative_deficit_calendar_days,relative_mdd,flow_adjusted_absolute_profit,hold_flow_adjusted_absolute_profit,scenario,rule,window,bp,inventory,signals,unknown,t1_skip,occupied_skip,sale_blocked,first_window_unavailable,additional_over_5514
3000,0.0,5.999999999999999,340,340,0,63.31442736260942,63.314427362623974,-0.1837137075896438,9586.019572637597,1829.0,0.0,0,0,2863.657849839936,0.0,2863.657849839936,2863.657849839936,2023-05-31,15.865140442326513,32.1160339399994,643.4253150499592,4280.355957301188,2025-10-29,212,2020-01-03,4711689.676855757,40,-13643.908557571085,148233.31442736258,148169.99999999997,S1_F1_open_6_all,S1_F1,open,6,all,341,3,0,0,1,1,0.0
1000,0.0,5.999999999999999,286,286,0,9870.131837334222,9870.131837334187,-0.07358259723915456,7969.470162665994,700.0,0.0,0,0,3408.827170699926,0.0,3408.827170699926,3408.827170699926,2024-01-22,23.672410907638373,26.933781879999515,556.9599207499996,1947.4445770320017,2026-06-01,173,2020-01-03,5231409.417649552,40,-8288.33139253396,59260.13183733422,49390.0,S1_F1_open_6_1000,S1_F1,open,6,1000,341,3,54,0,1,0,0.0
3000,0.0,7.0,340,340,0,-1634.743912077014,-1634.7439120769795,-0.20369449754220054,9585.466912077209,1829.0,0.0,0,0,3711.4769217174708,0.0,3711.4769217174708,3711.476921717469,2025-09-02,6.88841299502129,34.53632292999919,647.4164329916165,4295.563317851396,2025-10-29,215,2020-01-03,5703197.512083266,40,-14537.236521166269,146535.25608792296,148169.99999999997,S1_F1_open_7_all,S1_F1,open,7,all,341,3,0,0,1,1,0.0
1000,0.0,7.0,286,286,0,8468.856417223244,8468.856417223184,-0.09355434580214166,7969.012582777006,700.0,0.0,0,0,3865.287749149922,0.0,3865.287749149922,3865.287749149922,2024-01-22,26.842276035763348,29.337578859998757,562.1904158750003,1962.3009332040092,2026-06-01,176,2020-01-03,6001590.3315119995,40,-8476.142475622939,57858.85641722323,49389.999999999985,S1_F1_open_7_1000,S1_F1,open,7,1000,341,3,54,0,1,0,0.0
3000,0.0,10.0,340,340,0,-6728.918930395157,-6728.91893039513,-0.2636368673998633,9583.808930396008,1829.0,0.0,0,0,6523.450072903466,0.0,6523.450072903466,6523.45007290347,2025-09-12,10.538691555579106,43.40362490000007,665.0338466441965,4341.185399501992,2025-10-29,224,2020-01-03,8860353.668864327,40,-17226.480434843543,141441.0810696048,148169.99999999997,S1_F1_open_10_all,S1_F1,open,10,all,341,3,0,0,1,1,1009.4500729034553
1000,0.0,10.0,286,286,0,4265.0301568906725,4265.030156890676,-0.1534695914910959,7967.639843110002,700.0,0.0,0,0,5234.669484499724,0.0,5234.669484499724,5234.669484499724,2024-01-22,36.35187142013697,37.17196479999893,577.8819012499998,2006.870001719988,2026-06-01,185,2020-01-03,8352058.715777916,40,-9112.29423799977,53655.03015689066,49389.999999999985,S1_F1_open_10_1000,S1_F1,open,10,1000,341,3,54,0,1,0,0.0
3000,0.0,11.0,340,340,0,-8426.977269836323,-8426.977269836365,-0.28361765735244066,9583.256269835607,1829.0,0.0,0,0,7471.044827394835,0.0,7471.044827394835,7471.044827394835,2025-09-12,12.069539301122512,46.274180389999856,675.221219848632,4356.3927600522,2025-10-29,226,2020-01-03,9940413.548238099,40,-18613.29427792925,139743.02273016365,148169.99999999997,S1_F1_open_11_all,S1_F1,open,11,all,341,3,0,0,1,1,1957.044827394835
1000,0.0,11.0,286,286,0,2863.75473677837,2863.754736778359,-0.17344134005410378,7967.182263221008,700.0,0.0,0,0,5691.130062950215,0.0,5691.130062950215,5691.130062950215,2024-01-22,39.52173654826538,39.616741280002316,583.1123963750051,2021.7263578919956,2026-06-01,185,2020-01-03,9139214.627220733,40,-9526.941881800196,52253.75473677836,49389.99999999999,S1_F1_open_11_1000,S1_F1,open,11,1000,341,3,54,0,1,0,177.13006295022024
3000,0.0,11.999999999999998,340,340,0,-10125.03560927583,-10125.035609275812,-0.30359844730499563,9582.703609275202,1829.0,0.0,0,0,8418.639581885134,0.0,8418.639581885134,8418.63958188513,2025-09-12,13.60038704666419,48.63491800000156,685.4085930530401,4371.600120602408,2025-10-29,226,2020-01-03,11022865.111403864,40,-20050.398700831734,138044.96439072414,148169.99999999997,S1_F1_open_12_all,S1_F1,open,12,all,341,3,0,0,1,1,2904.639581885138
1000,0.0,11.999999999999998,286,286,0,1462.4793166674935,1462.479316667528,-0.19341308861708847,7966.724683331998,700.0,0.0,0,0,6147.590641400164,0.0,6147.590641400164,6147.590641400164,2024-01-22,42.69160167639002,42.93012788000124,588.3428915000013,2036.582714064003,2026-06-01,185,2020-01-03,9929341.041447796,40,-9941.589525600151,50852.47931666748,49389.999999999985,S1_F1_open_12_1000,S1_F1,open,12,1000,341,3,54,0,1,0,633.5906414001729
