rule,window,kind,n,years,months,mean,median,win,cash,mean_cash,pf,pf_cash,worst,worst_cash,tail5,tail5_cash,longest_loss,fee,max_extra_cash,need_extra_n
S1_F2,2019,valid_S0,244,1.0,12.0,-0.1808934198556569,-0.26064154688541646,35.65573770491803,-5822.272210299625,-23.861771353686986,0.6299328672458673,0.6586695329242492,-3.9767216105873695,-548.3899100999982,-2.935894379687473,-421.5229784307677,14.0,6122.557210300001,548.389910099997,156.0
S1_F2,2020,hit,52,1.0,12.0,-0.2640140698867015,-0.4225001286613673,34.61538461538461,-1697.2053861999184,-32.6385651192292,0.5664097759901146,0.6265855270335919,-3.950006198907945,-506.3907946999985,-3.216518815447971,-452.9714574666635,8.0,1313.7753862000002,506.3907946999989,34.0
S1_F2,2020,valid_S0,242,1.0,12.0,-0.15935215029156238,-0.27434845376152195,36.36363636363637,-4196.294097099613,-17.34005825247774,0.6686598185071997,0.7553469741548801,-5.4392016374207,-1029.0969497999963,-2.6428783335419186,-398.7484970384597,10.0,6175.8990971,1029.096949799994,154.0
S1_F2,2021,hit,53,1.0,12.0,-0.22054525620443208,-0.2864582508250741,22.641509433962266,-1447.1604205999254,-27.304913596225006,0.24605442975895497,0.25725497943244324,-0.9618759326599179,-118.3906507999987,-0.854416049005231,-106.57029569999885,6.0,1221.8304205999996,118.39065079999818,41.0
S1_F2,2021,valid_S0,243,1.0,12.0,-0.24974915187071065,-0.2857830605564446,23.456790123456788,-7512.097640399648,-30.913982059257812,0.23728343342367325,0.25298104530661314,-2.8571236783575564,-333.9977579999983,-1.3764448366939466,-182.7455891461523,17.0,5637.337640399999,333.9977579999977,185.0
S1_F2,2022,hit,52,1.0,11.0,-0.2864517650106316,-0.2924861552028225,26.923076923076923,-1405.403300099949,-27.026986540383636,0.2799288228219415,0.2849237909701473,-1.7431615528846014,-181.28880149999856,-1.586054131004789,-156.82006106666543,7.0,1034.7283000999998,181.28880149999895,37.0
S1_F2,2022,valid_S0,242,1.0,12.0,-0.25963960525771224,-0.29252423721419457,28.09917355371901,-6089.946493449734,-25.165068154750966,0.30298898154719156,0.29655738275802407,-2.854933342492619,-290.91770759999787,-1.6590196165860758,-154.49891556538356,13.0,4836.446493450001,290.9177075999978,173.0
S1_F2,2023,hit,57,1.0,12.0,-0.211633480827407,-0.21963399864681216,38.59649122807017,-2053.282244599899,-36.02249551929648,0.7150370040896746,0.7181201619842056,-8.235700377192982,-1220.5307959,-5.452172494154858,-1017.5564031666651,4.0,1241.8122446000002,1220.5307959000002,35.0
S1_F2,2023,valid_S0,241,1.0,12.0,-0.16288508925139655,-0.20190607192073856,43.983402489626556,-3669.1248585995836,-15.224584475516945,0.7523764909903271,0.8621790506174482,-8.235700377192982,-1220.5307959,-4.447044312214673,-814.3147926730755,11.0,5849.1348586,1220.5307959000002,134.0
S1_F2,2024,hit,59,1.0,12.0,0.111941949993934,0.13309480223172926,50.847457627118644,1374.1359272501545,23.290439444917872,1.1992316672415693,1.1831161714220684,-3.1897375026934305,-780.0073836499961,-2.9897174969451075,-674.6423239833308,6.0,1269.80907275,780.0073836499942,29.0
S1_F2,2024,valid_S0,242,1.0,12.0,-0.07470496271682106,0.06630722913178684,51.652892561983464,-2895.9634036993957,-11.96679092437767,0.9003488150646449,0.927633230553906,-10.200745196903522,-2569.5677150999973,-5.049047728386215,-1097.6879616115352,8.0,5210.673403700001,2569.567715099998,117.0
S1_F2,2025,hit,57,1.0,12.0,-0.3163184284312816,-0.11492762731309548,43.859649122807014,-1928.8823600737999,-33.84004140480351,0.6131925161619752,0.8597672338755269,-9.83232226178813,-2899.1747127869926,-6.2433775860298715,-1926.6457353986607,6.0,1673.2873600740002,2899.1747127869894,32.0
S1_F2,2025,valid_S0,242,1.0,12.0,-0.09828253738329425,-0.15195710349226388,43.80165289256198,1167.1580860778877,4.822967297842511,0.8621588529319624,1.017448126844561,-9.83232226178813,-4348.957669794001,-4.913467563524931,-2420.848859810148,9.0,7781.781913923001,4348.957669793992,136.0
S1_F2,2026,hit,45,1.0,9.0,-0.23714786778329133,0.10648112093533497,51.11111111111111,-7623.4334293997645,-169.4096317644392,0.7140280030338114,0.6761598037993577,-5.1822823635,-3886.711772625,-4.064307049401279,-2690.2938327479956,5.0,2195.5534294000004,3886.711772625,22.0
S1_F2,2026,valid_S0,168,1.0,9.0,-0.10059873168883883,-0.1541641874431136,47.023809523809526,-9587.547548547904,-57.06873540802324,0.8625406058091107,0.873878543790256,-6.391240648360583,-3886.711772625,-4.0206375360272,-2534.735658024994,6.0,8274.272548549001,3886.711772625,89.0
S1_F3,full,hit,356,9.0,83.0,-0.18441159990695474,-0.1519571737662363,43.258426966292134,-1206.562440646024,-3.3892203388933257,0.7604015844772253,0.98371124177813,-10.200745196903522,-4348.957669794001,-5.1907969261900595,-1835.8366362952188,10.0,10654.927440647,4348.957669793992,202.0
S1_F3,full,valid_S0,2002,9.0,100.0,-0.14741149189262467,-0.20390707594143517,38.76123876123876,-35946.144428917396,-17.955117097361338,0.728992132128177,0.8663041000096745,-10.200745196903522,-4348.957669794001,-3.7000436337459672,-1344.414140014926,17.0,53337.094428922006,4348.957669793992,1222.0
S1_F3,main,hit,295,7.0,65.0,-0.1943363517975946,-0.13254914265334097,44.40677966101695,-732.6370309461045,-2.483515359139337,0.7609050968421521,0.989391765482516,-10.200745196903522,-4348.957669794001,-5.464645762454164,-2008.8090134513288,10.0,9079.127030947002,4348.957669793992,164.0
S1_F3,main,valid_S0,1623,7.0,81.0,-0.1580071170123271,-0.2039058190314309,38.817005545286506,-32234.609243117986,-19.861127075242134,0.7222344842433968,0.8688022870445579,-10.200745196903522,-4348.957669794001,-3.889855348872354,-1489.7142897971535,17.0,43829.449243122006,4348.957669793992,990.0
S1_F3,early,hit,122,4.0,32.0,-0.18537704510909392,-0.1449601246813966,40.16393442622951,-1288.041136449815,-10.557714233195204,0.7322840330668732,0.9059712917741153,-6.165217137601177,-1213.6877357999983,-4.531407384320284,-794.9048487357134,10.0,3138.7561364499993,1213.6877357999983,73.0
S1_F3,early,valid_S0,970,4.0,48.0,-0.2093175628985868,-0.27434845376152195,32.88659793814433,-21745.230041248575,-22.41776292912224,0.5450913848453748,0.6535488144393702,-8.235700377192982,-1220.5307959,-2.837596113065708,-483.0146618571411,17.0,22544.70504125,1220.5307959000002,648.0
