scenario,year,increment,sales,deposits
S1_F1_post0935_11_all,2025,-5042.74714321697,57,6037.809424054474
S1_F1_post0935_11_all,2026,-360.83669479345554,42,0.0
S1_F1_post0935_11_1000,2020,176.58358431990746,51,297.14226944000256
S1_F1_post0935_11_1000,2021,-3095.8046277000703,46,2172.0787739401603
S1_F1_post0935_11_1000,2022,-2301.7553268100382,42,1801.7553268100382
S1_F1_post0935_11_1000,2023,-765.3315616800319,29,1360.8775231400123
S1_F1_post0935_11_1000,2024,2504.580096749898,37,0.0
S1_F1_post0935_11_1000,2025,6304.639358526409,46,0.0
S1_F1_post0935_11_1000,2026,-3133.2499026228033,35,0.0
S1_F1_post0935_12_all,2020,-561.4087708000516,59,311.77894848000506
S1_F1_post0935_12_all,2021,-3849.1496388000596,54,2748.7794611201043
S1_F1_post0935_12_all,2022,-3192.5875791600483,52,1846.0655925200372
S1_F1_post0935_12_all,2023,-1147.769008640047,34,2020.879166160028
S1_F1_post0935_12_all,2024,-884.5754868000658,42,0.0
S1_F1_post0935_12_all,2025,-5482.29759114582,57,6589.65539878665
S1_F1_post0935_12_all,2026,-895.1587557746097,42,0.0
S1_F1_post0935_12_1000,2020,23.529037439957392,51,311.77894848000506
S1_F1_post0935_12_1000,2021,-3214.7968484000485,46,2429.488862480086
S1_F1_post0935_12_1000,2022,-2384.2810565200434,42,1884.2810565200434
S1_F1_post0935_12_1000,2023,-861.6979945600342,29,1392.0059888800115
S1_F1_post0935_12_1000,2024,2338.550750999939,37,0.0
S1_F1_post0935_12_1000,2025,5964.436873847077,46,0.0
