model,month,feature,logistic_coef,net_return_coef
A12,2022-07,gap_weak,-0.03411402270055014,-0.05755049523469245
A12,2022-08,intercept,-0.09164995153588766,-0.23601581524774953
A12,2022-08,clv,0.04077246121521721,0.02793107859423377
A12,2022-08,logvolume,-0.11216203371786929,-0.05079048342546154
A12,2022-08,intraday1,0.09014250803179152,0.048207719966430376
A12,2022-08,ret5,0.15994278392401312,0.10159210225512054
A12,2022-08,market1,-0.09714823411142198,-0.14400927277100797
A12,2022-08,relative5,0.04959401180854173,-0.011179703715856883
A12,2022-08,weak,-0.1168160420529784,-0.0939292157883506
A12,2022-08,weak_clv,0.025300662880456407,0.08936322792362152
A12,2022-08,weak_ret5,0.044635127125975636,0.05231738435646935
A12,2022-08,gap,0.10323496637657407,-0.10797287143381956
A12,2022-08,gap_clv,-0.01162960439082446,0.18003886631974292
A12,2022-08,gap_weak,-0.03393407476648849,-0.06864017955925503
A12,2022-09,intercept,-0.09213260700144726,-0.26848827446505136
A12,2022-09,clv,0.018117387285598783,0.00600735662810304
A12,2022-09,logvolume,-0.10316079185004985,-0.04995366791147418
A12,2022-09,intraday1,0.18280792582674057,0.1417067245398963
A12,2022-09,ret5,0.16981322194934728,0.07956409376419633
A12,2022-09,market1,-0.08269795189312637,-0.10206994513884286
A12,2022-09,relative5,-0.004337227031564149,-0.023203895503905596
A12,2022-09,weak,-0.0858404589267472,-0.04181435614857019
A12,2022-09,weak_clv,-0.03537469931192911,0.011285676824492306
A12,2022-09,weak_ret5,0.054798701120277675,0.04298431658577502
A12,2022-09,gap,0.08031151007072324,-0.11470273598293947
A12,2022-09,gap_clv,0.01874795912999645,0.17906688605022025
A12,2022-09,gap_weak,-0.04753146372603845,-0.060353420317692336
A12,2022-10,intercept,-0.07462871063488587,-0.26073975072469385
A12,2022-10,clv,0.050300177013710534,0.05517522150545427
A12,2022-10,logvolume,-0.07960810538776991,-0.03657327000618132
A12,2022-10,intraday1,0.12149839841730484,0.10387666555895522
A12,2022-10,ret5,0.103509031492552,0.04980067775793225
A12,2022-10,market1,-0.0913601869458349,-0.12269270246623379
A12,2022-10,relative5,0.009023348814538135,-0.018483348465485626
A12,2022-10,weak,-0.15167252362186373,-0.007712566480082939
A12,2022-10,weak_clv,-0.008914596246126583,-0.025172682160475506
A12,2022-10,weak_ret5,0.03277460868681374,0.03644959878564783
A12,2022-10,gap,0.06391405835894612,-0.08159667122440185
A12,2022-10,gap_clv,-0.03272977606690372,0.10771844145232896
A12,2022-10,gap_weak,0.0051821153575184456,0.015228581034533615
A12,2022-11,intercept,-0.09291548748981825,-0.27138521217739453
A12,2022-11,clv,0.08308178827204943,0.05771214408703473
A12,2022-11,logvolume,-0.0536719531084496,-0.018220857473131905
A12,2022-11,intraday1,0.09388656297495906,0.10252509854156695
A12,2022-11,ret5,0.11642284878904388,0.06314118235600706
A12,2022-11,market1,-0.10829324866033399,-0.12573045645838088
A12,2022-11,relative5,0.016924661229164063,-0.03352149827277784
A12,2022-11,weak,-0.16744787573584632,-0.043897032412349726
A12,2022-11,weak_clv,-0.012449759092280827,0.02176775298632014
A12,2022-11,weak_ret5,0.015679089668894367,0.03449751916426212
A12,2022-11,gap,0.1165559077366401,-0.018117678623223867
A12,2022-11,gap_clv,-0.04108951306520192,0.06924833719950614
A12,2022-11,gap_weak,0.047936015455701905,0.08895953706639294
A12,2022-12,intercept,-0.1010311624343108,-0.28878278647025835
A12,2022-12,clv,0.08549706399718379,0.08675258568293343
A12,2022-12,logvolume,-0.08884145286444792,-0.061371599129179895
A12,2022-12,intraday1,0.0834978806197016,0.06839082948577169
A12,2022-12,ret5,0.06166203996062519,0.07220461758304998
A12,2022-12,market1,-0.1086570332566068,-0.10985384399866475
A12,2022-12,relative5,0.06986453003626608,-0.009557221559503878
A12,2022-12,weak,-0.17252972527198393,-0.012581145235714247
A12,2022-12,weak_clv,-0.008751313022939862,-0.0058632405958256514
A12,2022-12,weak_ret5,0.0023890664483662565,0.008013131208295029
A12,2022-12,gap,0.12493362959889989,-0.010731250651385476
A12,2022-12,gap_clv,-0.07462955831937149,0.030145792162753322
A12,2022-12,gap_weak,0.04961283917983054,0.09031566445911196
A12,2023-01,intercept,-0.0758316307963017,-0.27627409375059864
A12,2023-01,clv,0.10767442609442929,0.09652649216502841
A12,2023-01,logvolume,-0.06603673172851099,-0.04258045248056414
A12,2023-01,intraday1,0.09173774712252199,0.0611275204639168
A12,2023-01,ret5,-0.005337823976104053,0.04361871090821079
A12,2023-01,market1,-0.10081044139960059,-0.09150175409512203
A12,2023-01,relative5,0.07200407658429428,-0.0069021985870597645
A12,2023-01,weak,-0.1883375174441592,-0.020301045802778844
A12,2023-01,weak_clv,-0.03235794028195273,-0.012888461819982745
A12,2023-01,weak_ret5,0.012067079057430893,0.00597744026180143
A12,2023-01,gap,0.18074433914272905,-0.0015238020415912438
A12,2023-01,gap_clv,-0.032771211784709355,0.08221799976592521
A12,2023-01,gap_weak,-0.003801744200006371,0.05808198405780204
A12,2023-02,intercept,-0.068433704943702,-0.28049241276430636
A12,2023-02,clv,0.11571449722591184,0.09959466409220329
A12,2023-02,logvolume,-0.04904029851799541,-0.03724431591884191
A12,2023-02,intraday1,0.06016605125487679,0.045698452362329625
A12,2023-02,ret5,0.015738655368054123,0.06888469942065575
A12,2023-02,market1,-0.10321696832208915,-0.1017272868728605
A12,2023-02,relative5,0.07074136283406642,-0.020088803924769458
A12,2023-02,weak,-0.16042149164152358,-0.023033937099477667
A12,2023-02,weak_clv,-0.03489223143192378,-0.020857132033639172
A12,2023-02,weak_ret5,0.019190260916555287,-0.008865477042382329
A12,2023-02,gap,0.2037637738760761,0.06344408207327933
A12,2023-02,gap_clv,-0.05587759211448989,0.02683468267820235
A12,2023-02,gap_weak,0.010863757071459933,0.05383018215546889
A12,2023-03,intercept,-0.027803245158330176,-0.25733759019968905
A12,2023-03,clv,0.11957301559437278,0.1544484268201871
A12,2023-03,logvolume,-0.004964559322892071,0.04480000842116772
A12,2023-03,intraday1,0.07992909690483237,-0.005750034918183243
A12,2023-03,ret5,0.03244546296455883,0.08996794818091558
A12,2023-03,market1,-0.12191899919578426,-0.11212034941458725
A12,2023-03,relative5,0.03012488842537577,-0.07037882653533088
A12,2023-03,weak,-0.1541152960406027,-0.0155742742281155
A12,2023-03,weak_clv,-0.05678249411556979,-0.047892951912519965
A12,2023-03,weak_ret5,0.03021586762183373,0.025742075464912074
A12,2023-03,gap,0.1795082772672782,0.029575437619165656
A12,2023-03,gap_clv,-0.024133230577410725,0.04955256894230698
A12,2023-03,gap_weak,0.031876262814750235,0.0780779189736593
A12,2023-04,intercept,-0.08752247876834449,-0.37192280819941587
A12,2023-04,clv,0.1256944374436234,0.14356437343177758
A12,2023-04,logvolume,0.005988872971114995,0.01953879901310127
A12,2023-04,intraday1,0.004825842184236769,-0.1003686834418447
A12,2023-04,ret5,-0.023783407412253828,0.13419846636896424
A12,2023-04,market1,-0.11070040037493271,-0.09262780548564496
A12,2023-04,relative5,-0.09118876510655975,-0.3582314674194629
A12,2023-04,weak,-0.14196196985746806,0.004197094420888048
A12,2023-04,weak_clv,-0.0698238215299964,-0.0379494401527007
A12,2023-04,weak_ret5,0.11292261789464217,0.107175334826178
A12,2023-04,gap,0.1022394239762538,-0.07571310931284764
A12,2023-04,gap_clv,-0.0942779110768974,-0.023684451156881482
A12,2023-04,gap_weak,0.1153744403247965,0.17840366054830833
A12,2023-05,intercept,-0.08043290827896608,-0.36522029859559135
A12,2023-05,clv,0.06945895203537548,-0.010113836171181572
A12,2023-05,logvolume,-0.010445712128387144,-0.05014284710110156
A12,2023-05,intraday1,0.15289571669428706,0.35193412574361804
A12,2023-05,ret5,0.05011897776673981,0.16848706281505435
A12,2023-05,market1,-0.17295392802056536,-0.23132759121491714
A12,2023-05,relative5,-0.14296042797258512,-0.3417301474766386
A12,2023-05,weak,-0.16054151289385665,0.029111059838034446
A12,2023-05,weak_clv,-0.07830230305411436,-0.05570901607806538
A12,2023-05,weak_ret5,0.044878630255459795,0.041031342703771775
A12,2023-05,gap,0.1256293663134153,-0.11408580254557936
A12,2023-05,gap_clv,-0.10781164771796808,0.02118907984289004
A12,2023-05,gap_weak,0.0978853578282794,0.15397459124713134
A12,2023-06,intercept,-0.0510473024006573,-0.37451228808397047
A12,2023-06,clv,0.04198612132240402,-0.1017563184173457
A12,2023-06,logvolume,-0.03358794994546093,-0.07952635178936535
A12,2023-06,intraday1,0.14125481210260826,0.3652449966449543
A12,2023-06,ret5,0.10408010135441473,0.32991259483449104
A12,2023-06,market1,-0.18342049921614903,-0.2182729100994908
A12,2023-06,relative5,-0.2064455558215097,-0.49253612777367933
A12,2023-06,weak,-0.22841392400926258,-0.08004755845524009
A12,2023-06,weak_clv,-0.07203736512607788,0.009625144929327631
A12,2023-06,weak_ret5,-0.057652769822783535,-0.10872932475314172
A12,2023-06,gap,0.05522908951303883,-0.24752927567117214
A12,2023-06,gap_clv,-0.05160492198916799,0.126447151452077
A12,2023-06,gap_weak,0.003997078709516272,0.06274652862559617
A12,2023-07,intercept,-0.0599501950464944,-0.48259800629554317
A12,2023-07,clv,0.0678009193891733,0.01307972304715516
A12,2023-07,logvolume,0.01483920209372284,0.0244952465489184
A12,2023-07,intraday1,0.04249185899806628,0.19468652097957254
A12,2023-07,ret5,0.03158579711447057,0.1932856793309011
A12,2023-07,market1,-0.17143401253678955,-0.24788435214675408
A12,2023-07,relative5,-0.23878023341661553,-0.5530547166605843
A12,2023-07,weak,-0.19016237953434184,-0.01757621470984723
A12,2023-07,weak_clv,-0.13966529078474255,-0.06275597825953934
A12,2023-07,weak_ret5,-0.00504565567331472,0.11286398579716997
A12,2023-07,gap,0.06579014062744519,-0.19440535380078472
A12,2023-07,gap_clv,-0.07826869108788592,-0.04594185781739923
A12,2023-07,gap_weak,0.06516415971213357,0.25286816441893095
A12,2023-08,intercept,-0.043751671691506275,-0.46766549649535083
A12,2023-08,clv,0.04905071021424819,0.018292092557179826
A12,2023-08,logvolume,0.022293508502768056,0.006611321747768539
A12,2023-08,intraday1,0.09731092664182564,0.19649280289528817
A12,2023-08,ret5,0.04894640896421943,0.1600281091842582
A12,2023-08,market1,-0.18581947490146203,-0.2485141641265015
A12,2023-08,relative5,-0.2408712021466641,-0.4558786007517966
A12,2023-08,weak,-0.15612248783667032,-0.029055833624642247
A12,2023-08,weak_clv,-0.15287260997489108,-0.09305800385456174
A12,2023-08,weak_ret5,-0.017193486276281755,0.11893628130587924
A12,2023-08,gap,0.09571666993205066,-0.11493390095147347
A12,2023-08,gap_clv,-0.12480716423086814,-0.15530233486762707
A12,2023-08,gap_weak,0.019247445284672465,0.06192142240836445
A12,2023-09,intercept,-0.03497904036864981,-0.47283577610014277
A12,2023-09,clv,0.03476116416175661,0.03577058019174257
A12,2023-09,logvolume,0.07335731320706876,0.05667145238655923
A12,2023-09,intraday1,0.07382282807954889,0.10921593356987365
A12,2023-09,ret5,0.013065482613636338,-0.033013016193316744
A12,2023-09,market1,-0.1463682615842284,-0.1875361900629675
A12,2023-09,relative5,-0.19165829641635682,-0.22336299748530444
A12,2023-09,weak,-0.20018751822146066,-0.17220630332221343
A12,2023-09,weak_clv,-0.14104939816894652,-0.056319637057844214
A12,2023-09,weak_ret5,-0.07159926515813131,0.004510096013853607
A12,2023-09,gap,0.07943863737441517,-0.16683398110536796
A12,2023-09,gap_clv,-0.13411148845477644,-0.19533715035182483
A12,2023-09,gap_weak,0.11732161479173735,0.262310651418033
A12,2023-10,intercept,-0.0346341277882008,-0.4707152456934391
A12,2023-10,clv,0.005551600543806318,-0.00023213619234215157
A12,2023-10,logvolume,0.0598090267922973,0.050495449677880756
A12,2023-10,intraday1,0.09513753310560615,0.11635818100544684
A12,2023-10,ret5,0.012086019146122982,0.02445345089794365
A12,2023-10,market1,-0.17754411878447168,-0.20882358504111082
A12,2023-10,relative5,-0.1923521281937267,-0.27900641412596733
A12,2023-10,weak,-0.2047257886295659,-0.19066453093443894
A12,2023-10,weak_clv,-0.08663254921463785,0.026579024649807135
A12,2023-10,weak_ret5,0.002435892800939828,0.03741869591880924
A12,2023-10,gap,0.1038563776043782,-0.12228230528566686
A12,2023-10,gap_clv,-0.17100124246065418,-0.25945270034143786
A12,2023-10,gap_weak,0.12089478345747766,0.2435681814654451
A12,2023-11,intercept,-0.0229071066393671,-0.4623423340376721
A12,2023-11,clv,0.03342717594836059,-0.011444150044777392
A12,2023-11,logvolume,0.06800174831490366,0.07702253832685046
A12,2023-11,intraday1,0.08290428585906777,0.09894140084747127
A12,2023-11,ret5,0.012829303499278497,-0.032719132940152516
A12,2023-11,market1,-0.16626073777795228,-0.18561576843718786
A12,2023-11,relative5,-0.20441817258025038,-0.2604544582291826
A12,2023-11,weak,-0.17466418985769155,-0.1515351467483442
A12,2023-11,weak_clv,-0.10089740084288883,-0.016840170958990434
A12,2023-11,weak_ret5,0.020247590871911168,0.12274581730204227
