ordinal,date,status_old,cash_old,net_old,fee_old,extra_cash_old,days_missing_old,restore_date_old,auction_quantity,restore_clock_old,restore_price,restore_kind,missed_dividend_old,cash_openonly,net_openonly,status_openonly,restore_date_openonly,days_missing_openonly,restore_clock_openonly,missed_dividend_openonly,fee_openonly,extra_cash_openonly
556,2020-09-17,completed,-47.66082009999836,-0.3514809741887785,24.095820100000005,47.66082009999809,1,2020-09-18,unknown,09:25,13.57,open_proxy,0.0,-47.66082009999836,-0.3514809741887785,restored_at_open,2020-09-18,1,09:25,0.0,24.095820100000005,47.66082009999809
557,2020-09-18,completed,-28.18068989999804,-0.2039123726483215,24.365689900000003,28.18068989999847,1,2020-09-21,unknown,09:25,13.81,open_proxy,0.0,-28.18068989999804,-0.20391237264832154,restored_at_open,2020-09-21,1,09:25,0.0,24.365689900000003,28.18068989999847
558,2020-09-21,completed,52.02407090000266,0.3786322481805143,24.2809291,0.0,1,2020-09-22,unknown,09:25,13.65,open_proxy,0.0,52.02407090000266,0.3786322481805143,restored_at_open,2020-09-22,1,09:25,0.0,24.2809291,0.0
559,2020-09-22,completed,-107.6920206999972,-0.7941889432153185,24.0970207,107.69202069999665,1,2020-09-23,unknown,09:25,13.63,open_proxy,0.0,-107.6920206999972,-0.7941889432153185,restored_at_open,2020-09-23,1,09:25,0.0,24.0970207,107.69202069999665
560,2020-09-23,completed,82.38638620000194,0.6071214900515987,24.1036138,0.0,1,2020-09-24,unknown,09:25,13.45,open_proxy,0.0,82.38638620000194,0.6071214900515987,restored_at_open,2020-09-24,1,09:25,0.0,24.1036138,0.0
561,2020-09-24,completed,-117.02418579999868,-0.8845365517762561,23.7541858,117.02418579999905,1,2020-09-25,unknown,09:25,13.31,open_proxy,0.0,-117.02418579999869,-0.8845365517762561,restored_at_open,2020-09-25,1,09:25,0.0,23.754185800000002,117.02418579999903
562,2020-09-25,completed,-66.87581529999783,-0.5077890303720412,23.6908153,66.87581529999807,1,2020-09-28,unknown,09:25,13.2,open_proxy,0.0,-66.87581529999783,-0.5077890303720412,restored_at_open,2020-09-28,1,09:25,0.0,23.6908153,66.87581529999807
563,2020-09-28,completed,-77.10536039999928,-0.5806126536144525,23.8053604,77.10536039999897,1,2020-09-29,unknown,09:25,13.32,open_proxy,0.0,-77.10536039999928,-0.5806126536144525,restored_at_open,2020-09-29,1,09:25,0.0,23.805360399999998,77.10536039999897
564,2020-09-29,completed,-77.67642039999778,-0.5728349587020485,24.096420400000003,77.67642039999737,1,2020-09-30,unknown,09:25,13.6,open_proxy,0.0,-77.67642039999778,-0.5728349587020485,restored_at_open,2020-09-30,1,09:25,0.0,24.096420400000003,77.67642039999737
565,2020-09-30,completed,-257.8312071999985,-1.897212709345096,24.1312072,257.83120719999897,1,2020-10-09,unknown,09:25,13.81,open_proxy,0.0,-257.8312071999985,-1.897212709345096,restored_at_open,2020-10-09,1,09:25,0.0,24.131207200000002,257.83120719999897
566,2020-10-09,completed,-88.27307549999749,-0.6373507256317508,24.3980755,88.2730754999975,1,2020-10-12,unknown,09:25,13.9,open_proxy,0.0,-88.27307549999749,-0.6373507256317508,restored_at_open,2020-10-12,1,09:25,0.0,24.3980755,88.2730754999975
567,2020-10-12,completed,-18.5833897999975,-0.1325491426533345,24.573389800000005,18.58338979999826,1,2020-10-13,unknown,09:25,14.0,open_proxy,0.0,-18.5833897999975,-0.13254914265333453,restored_at_open,2020-10-13,1,09:25,0.0,24.573389800000005,18.58338979999826
568,2020-10-13,completed,91.65736630000282,0.6579854005743203,24.4776337,0.0,1,2020-10-14,unknown,09:25,13.8,open_proxy,0.0,91.65736630000282,0.6579854005743203,restored_at_open,2020-10-14,1,09:25,0.0,24.477633700000002,0.0
569,2020-10-14,completed,-58.01273519999924,-0.4225253838310214,24.2727352,58.01273519999995,1,2020-10-15,unknown,09:25,13.75,open_proxy,0.0,-58.01273519999924,-0.42252538383102145,restored_at_open,2020-10-15,1,09:25,0.0,24.2727352,58.01273519999995
570,2020-10-15,completed,-168.1107262999981,-1.2226234639999864,24.2957263,168.11072629999762,1,2020-10-16,unknown,09:25,13.88,open_proxy,0.0,-168.11072629999813,-1.2226234639999864,restored_at_open,2020-10-16,1,09:25,0.0,24.2957263,168.11072629999762
571,2020-10-16,completed,-158.16671119999774,-1.14779906531203,24.3267112,158.16671119999774,1,2020-10-19,unknown,09:25,13.9,open_proxy,0.0,-158.16671119999774,-1.14779906531203,restored_at_open,2020-10-19,1,09:25,0.0,24.326711200000002,158.16671119999774
572,2020-10-19,completed,1.7533304000023735,0.0126502914863086,24.406669600000004,0.0,1,2020-10-20,unknown,09:25,13.82,open_proxy,0.0,1.7533304000023735,0.012650291486308612,restored_at_open,2020-10-20,1,09:25,0.0,24.406669600000004,0.0
573,2020-10-20,completed,-8.23147469999844,-0.0594330303248984,24.3964747,8.231474699998216,1,2020-10-21,unknown,09:25,13.82,open_proxy,0.0,-8.23147469999844,-0.05943303032489849,restored_at_open,2020-10-21,1,09:25,0.0,24.396474700000002,8.231474699998216
574,2020-10-21,completed,22.212420600001664,0.1628476583577834,24.1775794,0.0,1,2020-10-22,unknown,09:25,13.58,open_proxy,0.0,22.212420600001664,0.16284765835778348,restored_at_open,2020-10-22,1,09:25,0.0,24.1775794,0.0
575,2020-10-22,completed,-47.8647700999986,-0.3504009524158024,24.1997701,47.86477009999908,1,2020-10-23,unknown,09:25,13.67,open_proxy,0.0,-47.8647700999986,-0.3504009524158024,restored_at_open,2020-10-23,1,09:25,0.0,24.199770100000002,47.86477009999908
576,2020-10-23,completed,-17.70640479999956,-0.130289954378216,24.126404800000003,17.70640479999929,1,2020-10-26,unknown,09:25,13.57,open_proxy,0.0,-17.70640479999956,-0.13028995437821606,restored_at_open,2020-10-26,1,09:25,0.0,24.126404800000003,17.70640479999929
577,2020-10-26,completed,52.14644090000026,0.3811874334795341,24.2185591,0.0,1,2020-10-27,unknown,09:25,13.59,open_proxy,0.0,52.14644090000026,0.3811874334795341,restored_at_open,2020-10-27,1,09:25,0.0,24.2185591,0.0
578,2020-10-27,completed,-98.3190655999971,-0.7088613237202387,24.419065600000003,98.31906559999696,1,2020-10-28,unknown,09:25,13.93,open_proxy,0.0,-98.3190655999971,-0.7088613237202387,restored_at_open,2020-10-28,1,09:25,0.0,24.419065600000003,98.31906559999697
579,2020-10-28,completed,141.66297180000225,1.0162336571018813,24.487028200000005,0.0,1,2020-10-29,unknown,09:25,13.76,open_proxy,0.0,141.66297180000225,1.0162336571018813,restored_at_open,2020-10-29,1,09:25,0.0,24.487028200000005,0.0
580,2020-10-29,completed,21.55978060000235,0.1544396891117647,24.5102194,0.0,1,2020-10-30,unknown,09:25,13.9,open_proxy,0.0,21.55978060000235,0.1544396891117647,restored_at_open,2020-10-30,1,09:25,0.0,24.5102194,0.0
