scenario,date,clock,quantity,reference,fine_price_available,price_gap,price_status,fill_status
S1_F1_30_paid_post0935_5,2022-11-17,09:40,1000,9.03,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-12-01,09:40,1000,9.19,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-12-08,09:40,1000,9.37,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-12-13,09:40,1000,9.47,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-12-20,09:40,1000,9.49,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-01-09,09:40,1000,9.52,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-01-17,09:40,1000,9.53,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-02-03,09:40,1000,9.44,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-02-13,09:40,1000,9.61,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-02-22,09:40,1000,9.73,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-03-06,09:40,1000,11.78,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-03-15,09:40,1000,12.01,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-03-21,09:40,1000,14.9,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-03-24,09:40,1000,17.13,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-03-28,09:40,1000,16.97,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-04-03,09:40,1000,17.74,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-04-06,09:40,1000,17.73,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-04-10,09:40,1000,17.68,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-04-24,09:40,1000,18.79,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-05-29,09:40,1000,17.25,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-05-31,09:40,1000,17.84,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-06-13,09:40,1000,21.15,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-06-20,09:40,1000,25.85,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-07-17,09:40,1000,26.08,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-08-08,09:40,1000,24.7,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-08-24,09:40,1000,22.2,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-09-08,09:40,1000,18.84,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-09-12,09:40,1000,19.28,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-09-26,09:40,1000,19.69,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-11-01,09:40,1000,14.89,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-11-21,09:40,1000,16.16,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-11-30,09:40,1000,14.89,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-12-12,09:40,1000,15.53,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2023-12-21,09:40,1000,14.57,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2024-01-15,09:40,1000,12.7,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2024-01-22,09:40,1000,14.75,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
