window,kind,rise,pullback,tp,stop,breakout_veto,signals,executed,execution_rate,net_win_rate,avg_net_per_trade,avg_net_per_signal,total_pnl_1000,pf,worst_pnl_1000,max_losing_streak,tp_count,stop_count,ambiguous_bar_count
full,pullback,0.003,0.005,0.015,,,61,44,0.7213114754098361,0.5454545454545454,-0.002049688484904051,-0.0014784638251766923,-524.1955459590246,0.8970343078056574,-1915.235071586994,6,10,0,0
full,pullback,0.003,0.005,0.015,,0.02,61,39,0.639344262295082,0.5128205128205128,-0.002689954485649066,-0.0017198069662346489,38.165953468757266,1.012017980021684,-642.9295030499992,6,7,0,0
full,pullback,0.005,0.002,,,,61,39,0.639344262295082,0.5128205128205128,-0.0016929451101419224,-0.0010823747425497538,-456.34869615192474,0.9010152109304843,-2534.525123660989,6,0,0,0
full,pullback,0.005,0.002,,,0.02,61,37,0.6065573770491803,0.5135135135135135,-0.002093450164797404,-0.0012697976409426878,-1467.5845578689414,0.6758118180261679,-2534.525123660989,6,0,0,0
full,pullback,0.005,0.002,0.015,,,61,39,0.639344262295082,0.5384615384615384,-0.0009462515269724827,-0.0006049804844578168,-45.80844881202154,0.9898052119518079,-2534.525123660989,6,9,0,0
full,pullback,0.005,0.002,0.015,,0.02,61,37,0.6065573770491803,0.5405405405405406,-0.0012078428759731315,-0.0007326260067378011,-820.3916562354812,0.8139693826816897,-2534.525123660989,6,8,0,0
full,pullback,0.005,0.003,,,,61,39,0.639344262295082,0.5384615384615384,-0.001444134875914143,-0.0009232993468959275,-326.50994800192916,0.9293530721227979,-2534.525123660989,6,0,0,0
full,pullback,0.005,0.003,,,0.02,61,34,0.5573770491803278,0.5,-0.0030240143127599948,-0.001685516174325243,-1865.5240728689446,0.5889446005857516,-2534.525123660989,8,0,0,0
full,pullback,0.005,0.003,0.015,,,61,39,0.639344262295082,0.5641025641025641,-0.0007380581347626946,-0.00047187323370073914,29.802657066970482,1.0066158381606343,-2534.525123660989,6,10,0,0
full,pullback,0.005,0.003,0.015,,0.02,61,34,0.5573770491803278,0.5294117647058824,-0.002089079743413918,-0.001164405102886446,-1239.992212843737,0.7195479556801374,-2534.525123660989,8,7,0,0
full,pullback,0.005,0.004,,,,61,38,0.6229508196721312,0.5526315789473685,-0.0013589398027424515,-0.0008465526640034943,425.7083032360771,1.1097333019216855,-1595.6014963229904,5,0,0,0
