entry,exit,window,eligible,excluded,paired_open_mean,paired_open_cash,delta_mean,delta_cash,opening_stops,bar_stops,delayed,saved_losses,spoiled_winners,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5,no_stop_common,stop_vs_no_stop_mean,stop_vs_no_stop_cash
WF_ENTRY,0935_S2,2024,17,0,0.4533182498135479,1711.3595472000366,0.006515409273579677,-79.91922040000303,1,2,0,0,0,17,0.4598336590871274,0.9604694470957523,52.94117647058824,1631.4403268000337,1.743202256491597,1.8087071797632452,-2.1950383426911495,-2.1950383426911495,-891.8110040499932,3.0,5.0,1.0,7.0,349.01967320000006,0.6634337918393348,0.29254630457258934,-0.38491652445564184,-1.5012172180676833,-764.2480886999765,5.0,8.0,1.4462665834532291,0.7027183576414107,17.0,-0.021245574709767318,-99.89902550000065
WF_ENTRY,0935_S2,2025,11,0,0.45208766659445027,-880.3299455689469,0.3796266481600124,2926.6232703430032,1,1,0,3,1,11,0.8317143147544624,-0.17893949943815154,45.45454545454545,2046.2933247740561,2.2248024865874614,1.4872221896278075,-2.4712443687321075,-2.4712443687321075,-1954.6462099979808,2.0,3.0,1.0,3.0,439.21667522600006,1.0210772488664985,0.0682108142413604,-1.2449432408471546,-2.4712443687321075,-4199.918165338969,4.0,4.0,2.7399295679906444,-0.17893949943815154,11.0,0.13314411118392944,878.9923319759903
WF_ENTRY,0935_S2,2026,9,0,0.3805616087601201,1608.03585156605,0.041915827775279926,199.7709845400086,1,0,0,1,1,9,0.4224774365354,-0.14580387769522724,44.44444444444444,1807.8068361060584,1.645122608864813,1.4966390600082669,-3.084037157135793,-3.084037157135793,-2880.943286111984,3.0,1.0,1.0,2.0,429.6231638940001,0.6024950375779338,-0.21203978924606437,-1.437027434747027,,-3552.1783265969657,2.0,3.0,2.4240526363754835,,9.0,-0.007055489150448945,-39.954196907995765
WF_ENTRY,1000_S0,main2022,172,0,-0.02731349621673617,-1124.2614180526548,0.19664150304418998,7151.1658303990225,0,0,0,33,18,172,0.16932800682745383,-0.20288746983749978,43.02325581395349,6026.9044123463655,1.2009387512817178,1.1793324413753346,-6.51172844203266,-4.990021540659333,-6244.023451499941,7.0,32.0,5.0,38.0,4581.720587654,0.4206114888204903,0.11339715726531355,-0.07579489014700247,-0.2473794092702786,-7301.754076954658,50.0,48.0,0.3410603554159001,0.0936723180591596,,,
WF_ENTRY,1000_S0,early2022_2023,135,0,-0.1540914844999183,-3563.3268712497934,0.12284859931737252,968.0075541000244,0,0,0,26,15,135,-0.031242885182545744,-0.3068951161057285,40.0,-2595.319317149769,0.9636012623791563,0.8741384438980259,-6.51172844203266,-5.235541722232806,-6244.023451499941,7.0,23.0,2.0,26.0,3362.11431715,0.23567474815210882,-0.1041141252357997,-0.3047061986993737,-0.46965708894601704,-7975.144585149776,40.0,33.0,0.18165286677299658,-0.09423314920628267,,,
WF_ENTRY,1000_S0,recent2024,37,0,0.43525483941109044,2439.0654531971395,0.46588588150690224,6183.1582762989965,0,0,0,7,3,37,0.9011407209179928,0.13249063575250986,54.054054054054056,8622.223729496134,2.1471834129830207,1.6639113008485173,-4.552052626129442,-3.985637767732264,-3977.8185803669576,2.0,9.0,3.0,12.0,1219.6062705040003,1.0953806777456656,0.6570264467390583,-0.014489327214580128,-0.7113848976134853,-4677.7053569088985,10.0,15.0,1.5661779734844588,0.6041418520989031,,,
WF_ENTRY,1000_S0,2022,41,0,-0.2754934584011606,-1162.441988549964,0.10786955081170102,379.4278911500014,0,0,0,7,5,41,-0.16762390758945947,-0.3068951161057285,36.58536585365854,-783.0140973999629,0.6806952393288422,0.6289535335222068,-3.0692793850570115,-2.1467377529827254,-1199.615396999976,7.0,12.0,1.0,18.0,811.7240974,0.1405120894110311,-0.22369684108400115,-0.4515493428984915,-0.6637868305127818,-1630.3998573499687,8.0,6.0,0.06932361485249555,-0.22217890317703276,,,
WF_ENTRY,1000_S0,2023,94,0,-0.10113955971320625,-2400.8848826998296,0.12938201409112288,588.5796629500244,0,0,0,19,10,94,0.02824245437791666,-0.31738951237566015,41.48936170212766,-1812.3052197498064,1.02813655889394,0.902091238597877,-6.51172844203266,-5.566532436026646,-6244.023451499941,5.0,11.0,1.0,8.0,2550.3902197499997,0.2771818652625791,-0.0761151889293472,-0.3678564676376487,-0.6170780465129082,-7192.130487749811,32.0,27.0,0.34255565046806064,-0.05841146951925589,,,
WF_ENTRY,1000_S0,2024,17,0,0.4533182498135479,1711.3595472000366,0.5612463165149867,1758.2228488000042,0,0,0,1,0,17,1.0145645663285348,0.3800977456945471,58.82352941176471,3469.5823960000403,2.5854837189983813,2.6249630365517076,-3.4192229093350863,-3.4192229093350863,-774.0598234499994,2.0,5.0,1.0,7.0,349.957604,1.2191556640720418,0.6881706777692063,-0.4519138204722834,-1.554063588734307,-958.3419321499716,4.0,8.0,2.2835020417205336,0.6759230039134161,,,
WF_ENTRY,1000_S0,2025,11,0,0.45208766659445027,-880.3299455689469,0.4703331009918887,2786.813354271007,0,0,0,3,1,11,0.9224207675863387,-0.15191190264633522,45.45454545454545,1906.4834087020597,2.1154623638807166,1.3547227363467862,-2.930168469135868,-2.930168469135868,-3892.335457544967,2.0,3.0,1.0,3.0,439.096591298,1.1119503106155415,0.045737385209009586,-1.5160571932625004,-2.930168469135868,-5374.573472048967,4.0,3.0,3.181843283396399,-0.15191190264633522,,,
WF_ENTRY,1000_S0,2026,9,0,0.3805616087601201,1608.03585156605,0.2803251248988705,1638.1220732279853,0,0,0,3,2,9,0.6608867336589905,0.7868595444341261,55.55555555555556,3246.1579247940354,1.6543706820515913,1.5926607121608019,-4.552052626129442,-4.552052626129442,-3779.912716541994,1.0,1.0,1.0,2.0,430.552075206,0.8413317078437745,-0.0574731953288552,-2.272404909814545,,-5477.26187713499,2.0,4.0,3.5626851744387427,,,,
