entry,exit,slip,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
A,1000_S2,0.001,47,0.3154432932297086,-0.6163967780241878,44.680851063829785,2754.284297092189,1.2789462343107254,1.1396028494714066,-4.763462853394223,-3.3512547465518545,-3531.997835359989,4,28,4,35,1615.8457029080002,0.6150617702057408,0.11152984109907432,-0.44014262591984343,-0.976091872882498,-8256.825941009834,23,18,0.7063006379227842,-0.09857292642358945
A,1000_S2,0.002,47,0.1150319503963707,-0.8149658125716647,42.5531914893617,-884.6114218160354,1.092585425489411,0.959501095541742,-4.953747141413013,-3.54435989060667,-5460.358493180016,5,28,4,35,1614.8714218159998,0.6150617702057408,-0.08847365722332469,-0.6390421200032668,-1.1739176921542587,-11372.18700402003,23,18,0.5051107327587834,-0.29815189007831666
B,OPEN,0.001,22,-0.0802612443310746,0.07008853852605695,50.0,463.96454927205366,0.8454594002193525,1.1846858271941285,-4.763462853394223,-3.127609478685957,-1516.4892517999963,5,17,5,17,572.7454507279999,0.2509068745633543,-0.22015792375793752,-0.5375830856279941,-0.9293268697477667,-2023.1825966379686,4,4,0.43931141759503456,0.007927418226944155
B,OPEN,0.002,22,-0.2799016587861275,-0.1298521640975594,50.0,-589.0005454559922,0.5472433956580479,0.7998898379286727,-4.953747141413013,-3.3211621642614997,-1713.051503599998,5,17,5,17,572.4205454560001,0.2509068745633543,-0.41951885896087954,-0.7363098740389915,-1.1272710685375706,-2689.187475275993,4,2,0.2386330216817656,-0.19188916639816958
B,0935_S0,0.001,22,-0.7042581797446779,-0.6880017146694433,27.27272727272727,-1841.9561098399433,0.2695117343035176,0.5721769326836561,-5.23997064881196,-4.204909860305114,-3785.713921351959,12,17,5,17,570.97610984,-0.37501651561069077,-0.8280124606860267,-1.2452878982496216,-1.6530269695910371,-4295.802803351964,8,4,-0.15670704579936345,-0.6950195078708195
B,0935_S0,0.002,22,-0.9026520308524568,-0.8864279104370718,18.181818181818183,-2892.612975679988,0.19308327869122258,0.42123870065834096,-5.429302974405305,-4.3963101252857655,-4595.831838703991,12,17,5,17,570.6529756799999,-0.37501651561069077,-1.0261590673404908,-1.442600893802911,-1.849525406967712,-4979.152602703992,10,3,-0.3561947786909712,-0.8934318128034954
B,0935_S1,0.001,22,-0.6073356272348295,-0.6880017146694433,27.27272727272727,-1482.687574003942,0.29963474368001053,0.6242695600707335,-4.763462853394223,-3.127609478685957,-3426.4453855159577,12,17,5,17,571.347574004,-0.2777853482338752,-0.7264745485328522,-1.1198587126486412,-1.4753356233229817,-3936.5342675159623,9,4,-0.17259534106868096,-0.7175279261690193
B,0935_S1,0.002,22,-0.8059231073302708,-0.8864279104370718,18.181818181818183,-2533.704068007993,0.21135950326102856,0.4538287804793624,-4.953747141413013,-3.3211621642614997,-4236.922931031996,12,17,5,17,571.0240680080001,-0.2777853482338752,-0.9248240046029627,-1.3174222868918468,-1.6721890471770378,-4620.243695031998,10,3,-0.3720512739153815,-0.9158951810380768
B,0935_S2,0.001,22,-0.6449908761651791,-0.6880017146694433,27.27272727272727,-1582.4784472399413,0.2871651282813927,0.6088722886755584,-4.763462853394223,-3.552969520930627,-3526.236258751958,12,17,5,17,571.23844724,-0.3155547807435165,-0.7659229045551231,-1.1685890347937995,-1.5443702463619557,-4036.325140751962,8,4,-0.15670704579936345,-0.6950195078708195
B,0935_S2,0.002,22,-0.8435031286671968,-0.8864279104370718,18.181818181818183,-2633.395050479988,0.20386263095765933,0.44428134189114366,-4.953747141413013,-3.7456722012479036,-4336.613913503992,12,17,5,17,570.91505048,-0.3155547807435165,-0.9641935507654564,-1.3660552556808099,-1.7410857529614017,-4719.934677503993,10,3,-0.3561947786909712,-0.8934318128034954
B,1000_S0,0.001,22,-0.48006272913399733,-0.6231143701018039,36.36363636363637,-1402.7812842799478,0.42183498798035746,0.6466183593806651,-2.944069452708302,-2.8639055894759986,-2737.542396097957,10,17,5,17,571.3612842800001,-0.15013873520893678,-0.5697082620685715,-0.9747637114546147,-1.451234211491182,-3570.5068613979647,9,4,-0.0023009026224081706,-0.5040598665301207
