scenario,event,increment,start,end
S1_F1_post0935_b5_e0_d0_exdate_reference,23,-74.10729539999738,2021-08-02,2021-08-10
S1_F1_post0935_b5_e0_d0_exdate_reference,24,-202.7601759999925,2021-08-11,2021-09-01
S1_F1_post0935_b5_e0_d0_exdate_reference,25,-28.80482960000154,2021-09-02,2021-10-08
S1_F1_post0935_b5_e0_d0_exdate_reference,26,-415.1836610999817,2021-10-11,2021-11-30
S1_F1_post0935_b5_e0_d0_exdate_reference,27,-150.001245499996,2021-12-01,2021-12-23
S1_F1_post0935_b5_e0_d0_exdate_reference,28,-64.44881030000033,2021-12-24,2021-12-31
S1_F1_post0935_b5_e0_d0_exdate_reference,29,-134.6075810000002,2022-01-04,2022-02-08
S1_F1_post0935_b5_e0_d0_exdate_reference,3,186.38627229999838,2020-03-11,2020-03-24
S1_F1_post0935_b5_e0_d0_exdate_reference,30,23.79094090000217,2022-02-09,2022-02-18
S1_F1_post0935_b5_e0_d0_exdate_reference,31,78.39288710000255,2022-02-21,2022-03-11
S1_F1_post0935_b5_e0_d0_exdate_reference,32,-94.82367879999038,2022-03-14,2022-04-27
S1_F1_post0935_b5_e0_d0_exdate_reference,33,-79.14334314999724,2022-04-28,2022-05-17
S1_F1_post0935_b5_e0_d0_exdate_reference,34,61.0222104500026,2022-05-18,2022-05-25
S1_F1_post0935_b5_e0_d0_exdate_reference,35,-76.58128994999606,2022-05-26,2022-06-14
S1_F1_post0935_b5_e0_d0_exdate_reference,36,-318.70094099999733,2022-06-15,2022-07-18
S1_F1_post0935_b5_e0_d0_exdate_reference,37,-676.8058216999925,2022-07-19,2022-09-05
S1_F1_post0935_b5_e0_d0_exdate_reference,38,20.96142024999972,2022-09-06,2022-09-27
S1_F1_post0935_b5_e0_d0_exdate_reference,39,-137.34302054999898,2022-09-28,2022-10-12
S1_F1_post0935_b5_e0_d0_exdate_reference,4,162.46877700000186,2020-03-25,2020-04-02
S1_F1_post0935_b5_e0_d0_exdate_reference,40,-144.0744754499974,2022-10-13,2022-11-01
S1_F1_post0935_b5_e0_d0_exdate_reference,41,-93.09775504999743,2022-11-02,2022-11-29
S1_F1_post0935_b5_e0_d0_exdate_reference,42,-235.5905005999939,2022-11-30,2023-01-05
S1_F1_post0935_b5_e0_d0_exdate_reference,43,-169.01431069999853,2023-01-06,2023-01-13
S1_F1_post0935_b5_e0_d0_exdate_reference,44,-59.20055014999889,2023-01-16,2023-02-01
S1_F1_post0935_b5_e0_d0_exdate_reference,45,80.76987555000233,2023-02-02,2023-02-09
S1_F1_post0935_b5_e0_d0_exdate_reference,46,140.3359908500006,2023-02-10,2023-02-20
S1_F1_post0935_b5_e0_d0_exdate_reference,47,120.12384075000045,2023-02-21,2023-03-02
S1_F1_post0935_b5_e0_d0_exdate_reference,48,-443.17081704999873,2023-03-03,2023-03-13
S1_F1_post0935_b5_e0_d0_exdate_reference,49,-200.6970694999909,2023-03-14,2023-04-20
S1_F1_post0935_b5_e0_d0_exdate_reference,5,-228.57022189999407,2020-04-03,2020-04-14
