date,clock,missing,reference,cash_before,tax_reserve,receivable,full_cost,cash_gap,scenario
2023-06-05,09:25,100,18.06,780.236187430236,0.0,0.0,1812.8240780599997,1032.5878906297637,S0_open_b10_e0_d0_main
2023-06-06,09:25,100,18.6,780.236187430236,0.0,0.0,1866.8786186000002,1086.6424311697642,S0_open_b10_e0_d0_main
2023-06-07,09:25,100,18.2,780.236187430236,0.0,0.0,1826.8382181999998,1046.6020307697638,S0_open_b10_e0_d0_main
2023-06-08,09:25,100,17.9,780.236187430236,0.0,0.0,1796.8079178999994,1016.5717304697635,S0_open_b10_e0_d0_main
2023-06-09,09:25,100,17.85,780.236187430236,0.0,0.0,1791.80286785,1011.566680419764,S0_open_b10_e0_d0_main
2023-06-12,09:25,100,20.31,780.236187430236,0.0,0.0,2038.0513303099995,1257.8151428797635,S0_open_b10_e0_d0_main
2023-06-13,09:25,100,21.2,780.236187430236,0.0,0.0,2127.1412212,1346.905033769764,S0_open_b10_e0_d0_main
2023-06-14,09:25,100,21.75,780.236187430236,0.0,0.0,2182.1967717499997,1401.9605843197637,S0_open_b10_e0_d0_main
2023-06-15,09:25,100,22.6,780.236187430236,0.0,0.0,2267.2826225999997,1487.0464351697638,S0_open_b10_e0_d0_main
2023-06-16,09:25,100,22.64,780.236187430236,0.0,0.0,2271.2866626399996,1491.0504752097636,S0_open_b10_e0_d0_main
2023-06-19,09:25,100,24.5,780.236187430236,0.0,0.0,2457.4745245,1677.238337069764,S0_open_b10_e0_d0_main
2023-06-20,09:25,100,25.87,780.236187430236,0.0,0.0,2594.6128958699996,1814.3767084397637,S0_open_b10_e0_d0_main
2023-06-21,09:25,100,25.5,780.236187430236,0.0,0.0,2557.5755255,1777.339338069764,S0_open_b10_e0_d0_main
2023-06-26,09:25,100,23.9,780.236187430236,0.0,0.0,2397.4139238999996,1617.1777364697637,S0_open_b10_e0_d0_main
2023-06-27,09:25,100,23.41,780.236187430236,0.0,0.0,2348.36443341,1568.128245979764,S0_open_b10_e0_d0_main
2023-06-28,09:25,100,21.99,780.236187430236,0.0,0.0,2206.2210119899996,1425.9848245597636,S0_open_b10_e0_d0_main
2023-06-29,09:25,100,23.01,780.236187430236,0.0,0.0,2308.3240330099998,1528.0878455797638,S0_open_b10_e0_d0_main
2023-06-30,09:25,100,23.55,780.236187430236,0.0,0.0,2362.3785735499996,1582.1423861197636,S0_open_b10_e0_d0_main
2023-07-03,09:25,100,25.4,780.236187430236,0.0,0.0,2547.5654253999996,1767.3292379697637,S0_open_b10_e0_d0_main
2023-07-04,09:25,100,24.0,780.236187430236,0.0,0.0,2407.4240239999995,1627.1878365697635,S0_open_b10_e0_d0_main
2023-07-05,09:25,100,24.3,780.236187430236,0.0,0.0,2437.4543243,1657.2181368697638,S0_open_b10_e0_d0_main
2023-07-06,09:25,100,23.6,780.236187430236,0.0,0.0,2367.3836235999997,1587.1474361697638,S0_open_b10_e0_d0_main
2023-07-07,09:25,100,23.8,780.236187430236,0.0,0.0,2387.4038238,1607.1676363697638,S0_open_b10_e0_d0_main
2023-07-10,09:25,100,24.0,780.236187430236,0.0,0.0,2407.4240239999995,1627.1878365697635,S0_open_b10_e0_d0_main
2023-07-11,09:25,100,24.0,780.236187430236,0.0,0.0,2407.4240239999995,1627.1878365697635,S0_open_b10_e0_d0_main
2023-07-12,09:25,100,24.0,780.236187430236,0.0,0.0,2407.4240239999995,1627.1878365697635,S0_open_b10_e0_d0_main
2023-07-13,09:25,100,22.98,780.236187430236,0.0,0.0,2305.32100298,1525.0848155497638,S0_open_b10_e0_d0_main
2023-07-14,09:25,100,25.71,780.236187430236,0.0,0.0,2578.59673571,1798.3605482797639,S0_open_b10_e0_d0_main
2023-07-17,09:25,100,26.89,780.236187430236,0.0,0.0,2696.71591689,1916.4797294597638,S0_open_b10_e0_d0_main
2023-07-18,09:25,100,26.08,780.236187430236,0.0,0.0,2615.6341060799996,1835.3979186497636,S0_open_b10_e0_d0_main
2023-07-19,09:25,100,25.92,780.236187430236,0.0,0.0,2599.61794592,1819.3817584897638,S0_open_b10_e0_d0_main
2023-07-20,09:25,100,24.9,780.236187430236,0.0,0.0,2497.5149248999996,1717.2787374697637,S0_open_b10_e0_d0_main
2023-07-21,09:25,100,23.04,780.236187430236,0.0,0.0,2311.3270630399998,1531.0908756097638,S0_open_b10_e0_d0_main
2023-07-24,09:25,100,22.79,780.236187430236,0.0,0.0,2286.3018127899995,1506.0656253597635,S0_open_b10_e0_d0_main
