scenario,year,increment,fees,tax,deficit_days,sales
S0_open_b5_e0_d1_main,2023,-649.0,0.0,0.0,242,0
S0_open_b5_e0_d1_main,2024,-1045.2119513099988,21.800951310000002,0.0,240,1
S0_open_b5_e0_d1_main,2025,-3980.276928144991,120.42242814500001,0.0,231,6
S0_open_b5_e0_d1_main,2026,-242.40000000000873,0.0,0.0,169,0
S0_open_b5_e0_d3_main,2020,-4652.618715599803,3087.0787156000006,0.0,0,121
S0_open_b5_e0_d3_main,2021,-1406.1588160198771,1968.0178160200003,45.0,80,82
S0_open_b5_e0_d3_main,2022,-592.1544369199855,383.83843692,45.0,204,19
S0_open_b5_e0_d3_main,2023,-649.0,0.0,0.0,242,0
S0_open_b5_e0_d3_main,2024,-696.0,0.0,0.0,242,0
S0_open_b5_e0_d3_main,2025,-5712.179974974995,23.502474975,0.0,240,1
S0_open_b5_e0_d3_main,2026,-242.40000000000873,0.0,0.0,169,0
S0_open_b10_e0_d0_main,2020,-5871.8190730398,2597.08707304,0.0,41,101
S0_open_b10_e0_d0_main,2021,-203.68874937998953,176.05974938,45.0,229,7
S0_open_b10_e0_d0_main,2022,-526.2559901499735,393.78399015,45.0,204,19
S0_open_b10_e0_d0_main,2023,-649.0,0.0,0.0,242,0
S0_open_b10_e0_d0_main,2024,-791.1432199599985,21.58721996,0.0,240,1
S0_open_b10_e0_d0_main,2025,-5677.05339995,23.49839995,0.0,240,1
S0_open_b10_e0_d0_main,2026,-242.40000000000873,0.0,0.0,169,0
S0_open_b10_e0_d1_main,2020,-5871.8190730398,2597.08707304,0.0,41,101
S0_open_b10_e0_d1_main,2021,-207.81697203998192,362.29497204,45.0,213,15
S0_open_b10_e0_d1_main,2022,-575.2548906999782,388.42789070000003,45.0,204,19
S0_open_b10_e0_d1_main,2023,-649.0,0.0,0.0,242,0
S0_open_b10_e0_d1_main,2024,-696.0,0.0,0.0,242,0
S0_open_b10_e0_d1_main,2025,-5729.253399950001,23.49839995,0.0,240,1
S0_open_b10_e0_d1_main,2026,-242.40000000000146,0.0,0.0,169,0
S0_open_b10_e0_d3_main,2020,-5871.8190730398,2597.08707304,0.0,41,101
S0_open_b10_e0_d3_main,2021,-207.81697203998192,362.29497204,45.0,213,15
S0_open_b10_e0_d3_main,2022,-419.2292009599623,813.8962009600002,45.0,160,41
S0_open_b10_e0_d3_main,2023,-649.0,0.0,0.0,242,0
S0_open_b10_e0_d3_main,2024,-1058.4196826200005,21.79768262,0.0,240,1
S0_open_b10_e0_d3_main,2025,-4086.704766289975,120.39576629000001,0.0,231,6
S0_open_b10_e0_d3_main,2026,-242.40000000000873,0.0,0.0,169,0
S0_post0935_b5_e0_d0_main,2020,-2441.4694934998224,3087.0344935000003,0.0,0,121
S0_post0935_b5_e0_d0_main,2021,-3179.3000883998266,2825.9200884,50.0,0,122
S0_post0935_b5_e0_d0_main,2022,-987.4114835648998,1750.764983565,45.0,70,86
S0_post0935_b5_e0_d0_main,2023,-649.0,0.0,0.0,242,0
S0_post0935_b5_e0_d0_main,2024,-696.0,0.0,0.0,242,0
S0_post0935_b5_e0_d0_main,2025,-5586.115714345,23.501214344999998,0.0,240,1
S0_post0935_b5_e0_d0_main,2026,-242.40000000000873,0.0,0.0,169,0
S0_post0935_b5_e0_d1_main,2020,-2441.4694934998224,3087.0344935000003,0.0,0,121
S0_post0935_b5_e0_d1_main,2021,-3179.3000883998266,2825.9200884,50.0,0,122
